"coverage","coverage_lower","coverage_upper","power","power_lower","power_upper","true_eta0","method","median_estimated_eta0","eta0_q25","eta0_q75","mean_reported_L","mean_false_sets","fallback_frequency"
NA,NA,NA,0,0,0,25,"Null posterior-mean R",0.977285653859679,0.861276305898877,1.18687623674514,0,0,0
1,1,1,0.525,0.5,0.575,25,"collapsed-R",5.85897735761773,3.73047599456787,8.44183079341504,1,0,1
0.952380952380952,0.869565217391304,1,0.525,0.5,0.575,25,"AIW-N",11.8756351455496,10.3313408493192,15.9018937696442,1.05,0.05,0.95
NA,NA,NA,0,0,0,50,"Null posterior-mean R",1.83564230282753,1.56322872765328,2.1560710140351,0,0,0
0.91304347826087,0.772727272727273,1,0.525,0.425,0.65,50,"collapsed-R",19.446658149783,13.7724796641409,30.7592881346802,1.15,0.1,0.85
0.814814814814815,0.678571428571429,0.96,0.55,0.45,0.675,50,"AIW-N",28.7880181821915,23.7977601125549,56.1524350812464,1.35,0.25,0.65
NA,NA,NA,0,0,0,100,"Null posterior-mean R",3.01391015391505,2.48086701974937,3.84269850038767,0,0,0
0.961538461538462,0.875,1,0.625,0.525,0.75,100,"collapsed-R",38.5112109947951,30.8670304093593,54.8817521923407,1.3,0.05,0.7
0.911764705882353,0.818181818181818,1,0.775,0.65,0.875,100,"AIW-N",62.0218414726089,42.3262211325259,90.760447778119,1.7,0.15,0.3
NA,NA,NA,0,0,0,200,"Null posterior-mean R",8.7076371460191,7.11302715126792,10.522481904067,0,0,0
1,1,1,0.95,0.875,1,200,"collapsed-R",123.029271531612,83.6982358984602,145.68790868977,1.9,0,0.1
0.925,0.813842746400886,1,0.925,0.85,1,200,"AIW-N",180.01050658812,159.712654318231,202.536571637498,2,0.15,0.05
1,1,1,0.4,0.2,0.6,400,"Null posterior-mean R",36.0522813359141,19.4340371417994,64.6313263100617,0.6,0,0
0.975,0.925,1,0.975,0.925,1,400,"collapsed-R",254.573678232933,223.722747834892,312.340819973287,2,0.05,0
0.951219512195122,0.880952380952381,1,0.975,0.925,1,400,"AIW-N",309.700879608663,269.977783937525,379.713656532905,2.05,0.1,0
1,1,1,0.825,0.725,0.925,800,"Null posterior-mean R",251.710825807207,123.040198253636,1e+08,1.55,0,0
1,1,1,1,1,1,800,"collapsed-R",466.384086793044,391.037157563071,829.129745145207,2,0,0
0.975,0.925,1,0.975,0.925,1,800,"AIW-N",521.097870733605,423.01332681287,967.162585347295,2,0.05,0
