"T_generations","N0","panel_seed","J","N","true_L","h2","method","fit_seconds","causal_1","causal_2","causal_LD","expected_z_stronger","expected_z_weaker","ld_rmse","ld_mae","ld_correlation","maximum_ld_error","selected_lambda","raw_eta0","eta0_used","selected_model_L","reported_L","true_sets","false_sets","causal_power","all_causal_covered","mean_causal_pip","fallback","converged"
1,100,101,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.192,124,234,0.000645058756285585,11.5097204349334,8.22486367066569,0.0996058509677298,0.0787468049692315,0.879650305513607,0.407851834560387,NA,NA,NA,5,2,2,0,1,TRUE,0.925562660704498,FALSE,TRUE
1,100,101,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0330000000000004,124,234,0.000645058756285585,11.5097204349334,8.22486367066569,0.0996058509677298,0.0787468049692315,0.879650305513607,0.407851834560387,NA,NA,NA,5,4,2,2,1,TRUE,0.99782420354738,FALSE,TRUE
1,100,101,500,200000,2,0.001,"collapsed-R",0.578,124,234,0.000645058756285585,11.5097204349334,8.22486367066569,0.0996058509677298,0.0787468049692315,0.879650305513607,0.407851834560387,0.01,1.58677631423809,2.66102387897727,5,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
1,100,101,500,200000,2,0.001,"AIW-N",1.253,124,234,0.000645058756285585,11.5097204349334,8.22486367066569,0.0996058509677298,0.0787468049692315,0.879650305513607,0.407851834560387,0.01,7.37875805504098,10.5073514703783,1,1,1,0,0.5,FALSE,0.5,TRUE,TRUE
1,100,102,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.227,124,170,0.00216773978265443,11.513948819913,8.23645519371349,0.0966359935175973,0.0761685550318351,0.865045332147609,0.510927181483718,NA,NA,NA,5,2,2,0,1,TRUE,0.88379615483624,FALSE,TRUE
1,100,102,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0760000000000001,124,170,0.00216773978265443,11.513948819913,8.23645519371349,0.0966359935175973,0.0761685550318351,0.865045332147609,0.510927181483718,NA,NA,NA,5,4,0,4,0,FALSE,5.83354540286685e-05,FALSE,TRUE
1,100,102,500,200000,2,0.001,"collapsed-R",0.609,124,170,0.00216773978265443,11.513948819913,8.23645519371349,0.0966359935175973,0.0761685550318351,0.865045332147609,0.510927181483718,0.01,1.30312182676096,2.18533530347814,5,1,1,0,0.5,FALSE,0.0740969038571498,TRUE,TRUE
1,100,102,500,200000,2,0.001,"AIW-N",1.707,124,170,0.00216773978265443,11.513948819913,8.23645519371349,0.0966359935175973,0.0761685550318351,0.865045332147609,0.510927181483718,0.01,4.9128001194491,6.99582737009552,1,1,1,0,0.5,FALSE,0.0740969038571498,TRUE,TRUE
1,100,103,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.221,124,452,-0.000617289232073073,11.5062148831112,8.21524452680532,0.104023457643493,0.0830044841112783,0.843522467679669,0.489422197195887,NA,NA,NA,5,2,2,0,1,TRUE,0.999214710668638,FALSE,TRUE
1,100,103,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0220000000000002,124,452,-0.000617289232073073,11.5062148831112,8.21524452680532,0.104023457643493,0.0830044841112783,0.843522467679669,0.489422197195887,NA,NA,NA,5,4,1,3,0.5,FALSE,0.500606312700789,FALSE,TRUE
1,100,103,500,200000,2,0.001,"collapsed-R",0.624,124,452,-0.000617289232073073,11.5062148831112,8.21524452680532,0.104023457643493,0.0830044841112783,0.843522467679669,0.489422197195887,0.01,1,1.677,5,1,1,0,0.5,FALSE,0.499999999413642,TRUE,TRUE
1,100,103,500,200000,2,0.001,"AIW-N",1.165,124,452,-0.000617289232073073,11.5062148831112,8.21524452680532,0.104023457643493,0.0830044841112783,0.843522467679669,0.489422197195887,0.01,6.05160664759484,8.61748786617506,1,1,1,0,0.5,FALSE,0.499999999413642,TRUE,TRUE
1,100,104,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.195,124,428,-0.000573232134662902,11.5063372314722,8.21558038785766,0.098098376320211,0.0778963906862988,0.83261543405313,0.467115928487875,NA,NA,NA,5,2,2,0,1,TRUE,0.576125065025053,FALSE,TRUE
1,100,104,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.02,124,428,-0.000573232134662902,11.5063372314722,8.21558038785766,0.098098376320211,0.0778963906862988,0.83261543405313,0.467115928487875,NA,NA,NA,5,5,2,3,1,TRUE,0.5581096602616,FALSE,TRUE
1,100,104,500,200000,2,0.001,"collapsed-R",0.571,124,428,-0.000573232134662902,11.5063372314722,8.21558038785766,0.098098376320211,0.0778963906862988,0.83261543405313,0.467115928487875,0.01,1.70643095641901,2.86168471391468,5,1,1,0,0.5,FALSE,0.0612317679020572,TRUE,TRUE
1,100,104,500,200000,2,0.001,"AIW-N",1.162,124,428,-0.000573232134662902,11.5063372314722,8.21558038785766,0.098098376320211,0.0778963906862988,0.83261543405313,0.467115928487875,0.01,4.14800098045323,5.9067533961654,1,1,1,0,0.5,FALSE,0.0612317679020572,TRUE,TRUE
1,100,105,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.192,124,317,-2.38101535687044e-05,11.5078629903274,8.21976792763217,0.091847394730563,0.0730307861304684,0.870914024152003,0.384982727065519,NA,NA,NA,5,2,2,0,1,TRUE,0.626402997100526,FALSE,TRUE
1,100,105,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0270000000000001,124,317,-2.38101535687044e-05,11.5078629903274,8.21976792763217,0.091847394730563,0.0730307861304684,0.870914024152003,0.384982727065519,NA,NA,NA,5,4,2,2,1,TRUE,0.62502042242947,FALSE,TRUE
1,100,105,500,200000,2,0.001,"collapsed-R",0.57,124,317,-2.38101535687044e-05,11.5078629903274,8.21976792763217,0.091847394730563,0.0730307861304684,0.870914024152003,0.384982727065519,0.01,1.30809049528274,2.19366776058916,5,1,1,0,0.5,FALSE,0.124999232005129,TRUE,TRUE
1,100,105,500,200000,2,0.001,"AIW-N",1.218,124,317,-2.38101535687044e-05,11.5078629903274,8.21976792763217,0.091847394730563,0.0730307861304684,0.870914024152003,0.384982727065519,0.01,5.82208755586168,8.29065267954704,1,1,1,0,0.5,FALSE,0.124999232005129,TRUE,TRUE
1,100,106,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.197,124,404,-0.000586264703696737,11.5063010395055,8.2154810375888,0.103901865623085,0.0824767666926215,0.84392433089905,0.451522620345125,NA,NA,NA,5,2,2,0,1,TRUE,0.921107177820777,FALSE,TRUE
1,100,106,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.0270000000000001,124,404,-0.000586264703696737,11.5063010395055,8.2154810375888,0.103901865623085,0.0824767666926215,0.84392433089905,0.451522620345125,NA,NA,NA,5,3,2,1,1,TRUE,0.65197744311309,FALSE,TRUE
1,100,106,500,200000,2,0.001,"collapsed-R",0.593,124,404,-0.000586264703696737,11.5063010395055,8.2154810375888,0.103901865623085,0.0824767666926215,0.84392433089905,0.451522620345125,0.01,1.41648044097199,2.37543769951003,5,1,1,0,0.5,FALSE,0.499999688679991,TRUE,TRUE
1,100,106,500,200000,2,0.001,"AIW-N",1.271,124,404,-0.000586264703696737,11.5063010395055,8.2154810375888,0.103901865623085,0.0824767666926215,0.84392433089905,0.451522620345125,0.01,5.961004964822,8.48847106990653,1,1,1,0,0.5,FALSE,0.499999688679991,TRUE,TRUE
1,100,107,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.199,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0950292351484675,0.0755357968404356,0.847045341352631,0.454774625552012,NA,NA,NA,5,2,2,0,1,TRUE,0.790340987940781,FALSE,TRUE
1,100,107,500,200000,2,0.001,"SuSiE-RSS: reference R0",0.052,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0950292351484675,0.0755357968404356,0.847045341352631,0.454774625552012,NA,NA,NA,5,5,2,3,1,TRUE,0.911065484718911,FALSE,TRUE
1,100,107,500,200000,2,0.001,"collapsed-R",0.599,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0950292351484675,0.0755357968404356,0.847045341352631,0.454774625552012,0.01,1,1.677,5,1,1,0,0.5,FALSE,0.499999999997483,TRUE,TRUE
1,100,107,500,200000,2,0.001,"AIW-N",1.662,124,195,0.000420140427755799,11.5090958408528,8.22315040996544,0.0950292351484675,0.0755357968404356,0.847045341352631,0.454774625552012,0.01,3.70424343164749,5.27484264666603,1,1,1,0,0.5,FALSE,0.499999999997483,TRUE,TRUE
1,100,108,500,200000,2,0.001,"SuSiE-RSS: in-sample R",0.195,124,360,0.00168194695476712,11.5125998190839,8.23275840802874,0.101815323995155,0.0809787540340233,0.844977667770736,0.432372569899121,NA,NA,NA,5,2,2,0,1,TRUE,0.957523302841763,FALSE,TRUE
