"coverage","power","mean_reported_L","false_sets","fallback_frequency","mean_causal_pip","convergence_frequency","median_seconds","median_raw_eta0","median_eta0_used","median_lambda","ld_rmse","ld_correlation","coverage_lower","coverage_upper","power_lower","power_upper","mean_reported_L_lower","mean_reported_L_upper","false_sets_lower","false_sets_upper","fallback_frequency_lower","fallback_frequency_upper","mean_causal_pip_lower","mean_causal_pip_upper","ld_rmse_lower","ld_rmse_upper","T_generations","N0","method","panels"
1,1,2,0,0,0.835009132117285,1,0.196,NA,NA,NA,0.0988696872432877,0.853461862946054,1,1,1,1,2,2,0,0,0,0,0.732153842233118,0.929967862348929,0.096100541083558,0.101595217994539,1,100,"SuSiE-RSS: in-sample R",8
0.352941176470588,0.75,4.25,2.75,0,0.593082733157583,1,0.0300000000000002,NA,NA,NA,0.0988696872432877,0.853461862946054,0.222222222222222,0.470588235294118,0.5,1,3.75,4.625,2.125,3.375,0,0,0.37968419274343,0.773456129049876,0.0960501662389044,0.101628019391835,1,100,"SuSiE-RSS: reference R0",8
1,0.5,1,0,1,0.345040948981817,1,0.596,1.30560616102185,2.18950153203365,0.01,0.0988696872432877,0.853461862946054,1,1,0.5,0.5,1,1,0,0,1,1,0.19801262951984,0.453124903926699,0.0961158448018104,0.101603629193378,1,100,"collapsed-R",8
1,0.5,1,0,1,0.345040948981817,1,1.262,5.36744383765539,7.64324002482128,0.01,0.0988696872432877,0.853461862946054,1,1,0.5,0.5,1,1,0,0,1,1,0.196444728044466,0.453124903926065,0.0960226541151602,0.101422894975582,1,100,"AIW-N",8
1,1,2,0,0,0.801207857501931,1,0.199,NA,NA,NA,0.100613221841844,0.843478371065121,1,1,1,1,2,2,0,0,0,0,0.64875536529017,0.933822558361844,0.0984716239248669,0.102709698291318,50,100,"SuSiE-RSS: in-sample R",8
0.382352941176471,0.8125,4.25,2.625,0,0.749673227274525,1,0.0275000000000001,NA,NA,NA,0.100613221841844,0.843478371065121,0.282051282051282,0.516129032258065,0.625,0.9375,3.5,4.875,1.75,3.375,0,0,0.583845715778679,0.926798796447715,0.0985352658941705,0.10266762863406,50,100,"SuSiE-RSS: reference R0",8
1,0.5,1,0,1,0.390313158501381,1,0.5705,1.55597960946234,2.60937780506833,0.01,0.100613221841844,0.843478371065121,1,1,0.5,0.5,1,1,0,0,1,1,0.270132455504457,0.494269606154196,0.098511957073666,0.102640724181046,50,100,"collapsed-R",8
1,0.5,1,0,1,0.390313158501381,1,1.271,4.91410197793036,6.99768121657284,0.01,0.100613221841844,0.843478371065121,1,1,0.5,0.5,1,1,0,0,1,1,0.255854265519298,0.499798228018483,0.0985681968552024,0.102622598390798,50,100,"AIW-N",8
1,1,2,0,0,0.754601350829556,1,0.1975,NA,NA,NA,0.106733094326987,0.810902009987362,1,1,1,1,2,2,0,0,0,0,0.654667229938654,0.874734467927919,0.10474760513477,0.108679452908584,200,100,"SuSiE-RSS: in-sample R",8
0.382352941176471,0.8125,4.25,2.625,0,0.659163980594309,1,0.0385000000000002,NA,NA,NA,0.106733094326987,0.810902009987362,0.282051282051282,0.517273307790549,0.625,0.9375,3.5,4.875,1.75,3.375,0,0,0.540818396408667,0.781470625674993,0.104731006179307,0.108663372724596,200,100,"SuSiE-RSS: reference R0",8
