method,estimation_stage,J,h2,true_eta0,fits,finite_fits,finite_frequency,normal_limit_frequency,optimization_boundary_frequency,convergence_frequency,median_raw_eta0
AIW-N,actual_selection,1000,2e-04,20,2,2,1,0,0,1,21.1137272512466
AIW-N,oracle_lambda_oracle_L,1000,2e-04,20,2,2,1,0,0,1,5.84412489578544
AIW-N,selected_lambda_oracle_L,1000,2e-04,20,2,2,1,0,0,1,20.0629002203295
collapsed-R,actual_selection,1000,2e-04,20,2,2,1,0,0,1,10.202005293259
collapsed-R,oracle_lambda,1000,2e-04,20,2,2,1,0,0,1,1.14255306971111
AIW-N,actual_selection,1000,0.001,20,2,2,1,0,0,1,13.2893544517186
AIW-N,oracle_lambda_oracle_L,1000,0.001,20,2,2,1,0,0,1,6.84383245832107
AIW-N,selected_lambda_oracle_L,1000,0.001,20,2,2,1,0,0,1,20.5574537282022
collapsed-R,actual_selection,1000,0.001,20,2,2,1,0,0,1,4.15900675735121
collapsed-R,oracle_lambda,1000,0.001,20,2,2,1,0,0,1,1
AIW-N,actual_selection,1000,0.005,20,2,2,1,0,0,1,14.3814362048355
AIW-N,oracle_lambda_oracle_L,1000,0.005,20,2,2,1,0,0,1,7.2172238983114
AIW-N,selected_lambda_oracle_L,1000,0.005,20,2,2,1,0,0,1,20.7218375211925
collapsed-R,actual_selection,1000,0.005,20,2,2,1,0,0,1,1.70900794069669
collapsed-R,oracle_lambda,1000,0.005,20,2,2,1,0,0,1,1
AIW-N,actual_selection,1000,2e-04,50,2,2,1,0,0,1,166.79394000187
AIW-N,oracle_lambda_oracle_L,1000,2e-04,50,2,2,1,0,0,1,21.5759017072656
AIW-N,selected_lambda_oracle_L,1000,2e-04,50,2,2,1,0,0,1,112.802771490273
collapsed-R,actual_selection,1000,2e-04,50,2,2,1,0,0,1,95.653553519524
collapsed-R,oracle_lambda,1000,2e-04,50,2,2,1,0,0,1,13.2684573261836
AIW-N,actual_selection,1000,0.001,50,2,2,1,0,0,1,56.4096858317654
AIW-N,oracle_lambda_oracle_L,1000,0.001,50,2,2,1,0,0,1,22.0580253677689
AIW-N,selected_lambda_oracle_L,1000,0.001,50,2,2,1,0,0,1,69.3416883432563
collapsed-R,actual_selection,1000,0.001,50,2,2,1,0,0,1,51.286867161967
collapsed-R,oracle_lambda,1000,0.001,50,2,2,1,0,0,1,11.7468919247867
AIW-N,actual_selection,1000,0.005,50,2,2,1,0,0,1,54.2004938464292
AIW-N,oracle_lambda_oracle_L,1000,0.005,50,2,2,1,0,0,1,21.4522148614053
AIW-N,selected_lambda_oracle_L,1000,0.005,50,2,2,1,0,0,1,64.8676349159527
collapsed-R,actual_selection,1000,0.005,50,2,2,1,0,0,1,32.943138056555
collapsed-R,oracle_lambda,1000,0.005,50,2,2,1,0,0,1,2.71044591682664
AIW-N,actual_selection,1000,2e-04,100,2,2,1,0,0,1,83.0735623383068
AIW-N,oracle_lambda_oracle_L,1000,2e-04,100,2,2,1,0,0,1,28.3357931039086
AIW-N,selected_lambda_oracle_L,1000,2e-04,100,2,2,1,0,0,1,57.750443982673
collapsed-R,actual_selection,1000,2e-04,100,2,2,1,0,0,1,26.9382807645515
collapsed-R,oracle_lambda,1000,2e-04,100,2,2,1,0,0,1,8.33393910529384
AIW-N,actual_selection,1000,0.001,100,2,2,1,0,0,1,56.6717453253448
AIW-N,oracle_lambda_oracle_L,1000,0.001,100,2,2,1,0,0,1,47.4566994916359
AIW-N,selected_lambda_oracle_L,1000,0.001,100,2,2,1,0,0,1,70.2827646477277
collapsed-R,actual_selection,1000,0.001,100,2,2,1,0,0,1,54.5303549962852
collapsed-R,oracle_lambda,1000,0.001,100,2,2,1,0,0,1,34.80156071721
AIW-N,actual_selection,1000,0.005,100,2,2,1,0,0,1,61.8257009666269
AIW-N,oracle_lambda_oracle_L,1000,0.005,100,2,2,1,0,0,1,56.1756748101065
AIW-N,selected_lambda_oracle_L,1000,0.005,100,2,2,1,0,0,1,76.5748905494212
collapsed-R,actual_selection,1000,0.005,100,2,2,1,0,0,1,36.9366999828426
collapsed-R,oracle_lambda,1000,0.005,100,2,2,1,0,0,1,10.3913334325629
AIW-N,actual_selection,1000,2e-04,200,2,2,1,0,0,1,523.031728950129
AIW-N,oracle_lambda_oracle_L,1000,2e-04,200,2,2,1,0,0,1,108.13765385313
AIW-N,selected_lambda_oracle_L,1000,2e-04,200,2,2,1,0,0,1,358.245225891223
collapsed-R,actual_selection,1000,2e-04,200,2,2,1,0,0,1,347.956194368115
collapsed-R,oracle_lambda,1000,2e-04,200,2,2,1,0,0,1,92.5490805773391
AIW-N,actual_selection,1000,0.001,200,2,2,1,0,0,1,272.888772544073
AIW-N,oracle_lambda_oracle_L,1000,0.001,200,2,2,1,0,0,1,115.451091602655
AIW-N,selected_lambda_oracle_L,1000,0.001,200,2,2,1,0,0,1,240.56513187707
collapsed-R,actual_selection,1000,0.001,200,2,2,1,0,0,1,205.158509643784
collapsed-R,oracle_lambda,1000,0.001,200,2,2,1,0,0,1,93.2018959195899
AIW-N,actual_selection,1000,0.005,200,2,2,1,0,0,1,197.352204600106
AIW-N,oracle_lambda_oracle_L,1000,0.005,200,2,2,1,0,0,1,119.909386453348
AIW-N,selected_lambda_oracle_L,1000,0.005,200,2,2,1,0,0,1,197.352204600106
collapsed-R,actual_selection,1000,0.005,200,2,2,1,0,0,1,154.662730683747
collapsed-R,oracle_lambda,1000,0.005,200,2,2,1,0,0,1,62.8328669701382
AIW-N,actual_selection,1000,2e-04,500,2,2,1,0,0,1,165.797133053472
AIW-N,oracle_lambda_oracle_L,1000,2e-04,500,2,2,1,0,0,1,144.49463901184
AIW-N,selected_lambda_oracle_L,1000,2e-04,500,2,2,1,0,0,1,144.49463901184
collapsed-R,actual_selection,1000,2e-04,500,2,2,1,0,0,1,116.862172753871
collapsed-R,oracle_lambda,1000,2e-04,500,2,2,1,0,0,1,116.862172753871
AIW-N,actual_selection,1000,0.001,500,2,2,1,0,0,1,440.037661394788
AIW-N,oracle_lambda_oracle_L,1000,0.001,500,2,2,1,0,0,1,191.376967194024
AIW-N,selected_lambda_oracle_L,1000,0.001,500,2,2,1,0,0,1,286.687008988594
collapsed-R,actual_selection,1000,0.001,500,2,2,1,0,0,1,393.526883114225
collapsed-R,oracle_lambda,1000,0.001,500,2,2,1,0,0,1,149.091874443061
AIW-N,actual_selection,1000,0.005,500,2,2,1,0,0,1,506.516627870288
AIW-N,oracle_lambda_oracle_L,1000,0.005,500,2,2,1,0,0,1,208.326021814313
AIW-N,selected_lambda_oracle_L,1000,0.005,500,2,2,1,0,0,1,506.516627870288
collapsed-R,actual_selection,1000,0.005,500,2,2,1,0,0,1,596.041982031649
collapsed-R,oracle_lambda,1000,0.005,500,2,2,1,0,0,1,155.868525942729
AIW-N,actual_selection,1000,2e-04,1000,2,1,0.5,0.5,0,1,285.315118652813
AIW-N,oracle_lambda_oracle_L,1000,2e-04,1000,2,2,1,0,0,1,6286.42343479867
AIW-N,selected_lambda_oracle_L,1000,2e-04,1000,2,2,1,0,0,1,6286.42343479867
collapsed-R,actual_selection,1000,2e-04,1000,2,2,1,0,0,1,500082.129606473
collapsed-R,oracle_lambda,1000,2e-04,1000,2,2,1,0,0,1,500082.129606473
AIW-N,actual_selection,1000,0.001,1000,2,2,1,0,0,1,8405.26977286417
AIW-N,oracle_lambda_oracle_L,1000,0.001,1000,2,2,1,0,0,1,509.616293453189
AIW-N,selected_lambda_oracle_L,1000,0.001,1000,2,2,1,0,0,1,2816.60830708278
collapsed-R,actual_selection,1000,0.001,1000,2,2,1,0,0,1,3867.9013092201
collapsed-R,oracle_lambda,1000,0.001,1000,2,2,1,0,0,1,458.015574544976
AIW-N,actual_selection,1000,0.005,1000,2,2,1,0,0,1,697.384222920178
AIW-N,oracle_lambda_oracle_L,1000,0.005,1000,2,2,1,0,0,1,533.667823037382
AIW-N,selected_lambda_oracle_L,1000,0.005,1000,2,2,1,0,0,1,697.384222920178
collapsed-R,actual_selection,1000,0.005,1000,2,2,1,0,0,1,695.684762066077
collapsed-R,oracle_lambda,1000,0.005,1000,2,2,1,0,0,1,470.706860156032
AIW-N,actual_selection,100,2e-04,20,2,2,1,0,0,1,84.9211750768128
AIW-N,oracle_lambda_oracle_L,100,2e-04,20,2,2,1,0,0,1,10.3627608380493
AIW-N,selected_lambda_oracle_L,100,2e-04,20,2,2,1,0,0,1,105.832648822403
collapsed-R,actual_selection,100,2e-04,20,2,2,1,0,0,1,282.652989107644
collapsed-R,oracle_lambda,100,2e-04,20,2,2,1,0,0,1,5.73429567120157
AIW-N,actual_selection,100,0.001,20,2,2,1,0,0,1,20.7752585500271
AIW-N,oracle_lambda_oracle_L,100,0.001,20,2,2,1,0,0,1,9.83223830397517
AIW-N,selected_lambda_oracle_L,100,0.001,20,2,2,1,0,0,1,24.5115875019263
collapsed-R,actual_selection,100,0.001,20,2,2,1,0,0,1,17.9987757837548
collapsed-R,oracle_lambda,100,0.001,20,2,2,1,0,0,1,4.02313002589445
AIW-N,actual_selection,100,0.005,20,2,2,1,0,0,1,18.4823997812164
