method,estimation_stage,model,finite_fits,intercept,reference_multiplier,b,J_exponent,h2_exponent,in_sample_RMSE,in_sample_MAE,in_sample_bias,adjusted_R_squared,AIC
AIW-N,oracle_lambda_oracle_L,fixed_b_no_J_no_h2,177,0.821275796733753,2.273398382393,1,0,0,0.493574422724937,0.336683732045966,-7.52693576017055e-18,0,256.351345309136
AIW-N,oracle_lambda_oracle_L,free_b_no_J_no_h2,177,0.499166028971947,1.64734685811683,0.883111201259017,0,0,0.465146920441073,0.320271104210166,1.84801954028354e-16,0.877203876744222,237.351945016594
AIW-N,oracle_lambda_oracle_L,fixed_b_with_J_no_h2,177,0.849866564314067,2.33933468037134,1,0.0396209528735372,0,0.491834348392268,0.331491636904569,1.94445840471073e-16,0.00136441500484641,257.101129211866
AIW-N,oracle_lambda_oracle_L,free_b_with_J_no_h2,177,0.526920373708898,1.69370828017057,0.88368073969772,0.0362868726366338,0,0.463599026797728,0.315360055664187,1.46304813838315e-16,0.877318751316435,238.171956325976
AIW-N,oracle_lambda_oracle_L,fixed_b_no_J_with_h2,177,0.822577693324059,2.27636003946274,1,0,-0.0477259161316968,0.489609396238475,0.325691723837279,1.80293633130335e-16,0.0103792008508211,255.496076622616
AIW-N,oracle_lambda_oracle_L,free_b_no_J_with_h2,177,0.506276309947969,1.65910169772604,0.88529010743836,0,-0.0405402703789965,0.462123667969398,0.318827138089042,1.31721375802985e-16,0.87809835113105,237.043589331462
AIW-N,oracle_lambda_oracle_L,fixed_b_with_J_with_h2,177,0.850328246202082,2.34041495817643,1,0.0384790788349667,-0.0471309409084662,0.487955625328796,0.321470657585716,6.93497362486547e-17,0.011404145089516,256.298334380202
AIW-N,oracle_lambda_oracle_L,free_b_with_J_with_h2,177,0.533245641510846,1.70445539196938,0.885817762084768,0.0353783817161564,-0.040026292368136,0.460643266050134,0.313042739305617,2.70656065042799e-16,0.878177991588522,237.90773864217
AIW-N,selected_lambda_oracle_L,fixed_b_no_J_no_h2,175,0.232735511279209,1.26204763781525,1,0,0,0.668997037976409,0.478817461939015,-7.0974971931394e-18,0,359.937010380687
AIW-N,selected_lambda_oracle_L,free_b_no_J_no_h2,175,-0.0209309799298645,0.979286552663513,0.88392146361486,0,0,0.651532932792389,0.47771219225036,2.17603712826531e-16,0.757658036013317,352.678919542324
AIW-N,selected_lambda_oracle_L,fixed_b_with_J_no_h2,175,0.200642136360374,1.22218731715181,1,-0.044700056505929,0,0.667349003852655,0.476609952943971,-3.70338680357106e-17,-0.000831091179015697,361.0737426077
AIW-N,selected_lambda_oracle_L,free_b_with_J_no_h2,175,-0.0446155610733959,0.956365075132912,0.885427020687332,-0.037570668041744,0,0.650340830126943,0.475565727722689,2.27754323337389e-16,0.757140231891838,354.037941804844
AIW-N,selected_lambda_oracle_L,fixed_b_no_J_with_h2,175,0.233414650860709,1.2629050354332,1,0,-0.0147690601599969,0.668719827313349,0.478100512537708,-4.94049245958195e-17,-0.00494699403903764,361.791951682576
AIW-N,selected_lambda_oracle_L,free_b_no_J_with_h2,175,-0.0195476406857858,0.980642175610042,0.884359600321096,0,-0.00926146930580302,0.651421267185043,0.477407956444899,2.3949096674057e-16,0.756332616424426,354.618928235388
AIW-N,selected_lambda_oracle_L,fixed_b_with_J_with_h2,175,0.201027329943071,1.22265818654535,1,-0.0451652510786923,-0.015640027990404,0.66703753642241,0.476251858195304,-5.05151476204446e-17,-0.00571044166303381,362.910351267523
AIW-N,selected_lambda_oracle_L,free_b_with_J_with_h2,175,-0.0433199310679428,0.95760497347172,0.885916459861162,-0.0379005399557305,-0.0100664926200047,0.650208756576211,0.475183674064727,2.31560802278961e-16,0.755819207774148,355.96685532973
AIW-N,actual_selection,fixed_b_no_J_no_h2,172,0.262034254209524,1.29957105744626,1,0,0,0.77358844705721,0.556236008395716,4.23443983365618e-17,0,403.804802901863
AIW-N,actual_selection,free_b_no_J_no_h2,172,-0.282811790193741,0.75366162101978,0.755810052019507,0,0,0.680475738164076,0.50693726307831,1.77506588239487e-16,0.735374491476931,361.687545416852
AIW-N,actual_selection,fixed_b_with_J_no_h2,172,0.214707353715088,1.23949910907496,1,-0.0672524397281788,0,0.770398232583804,0.553129225640548,8.38516917399487e-17,0.00239689080590033,404.383242269159
AIW-N,actual_selection,free_b_with_J_no_h2,172,-0.311258221944404,0.732524697493669,0.757721297684217,-0.0464827878964891,0,0.678750669622727,0.506633986678719,2.13653384390074e-16,0.735156588362837,362.814366535917
AIW-N,actual_selection,fixed_b_no_J_with_h2,172,0.259186588198773,1.29587557736121,1,0,0.0380411190504119,0.772014459001741,0.556703549293575,1.35147061500519e-16,-0.00179326362831156,405.104167471983
AIW-N,actual_selection,free_b_no_J_with_h2,172,-0.286731328255219,0.750713397222819,0.755431716839509,0,0.0410831088006059,0.67838791477524,0.50549248238894,2.73037406637466e-16,0.735439601147266,362.630468337248
AIW-N,actual_selection,fixed_b_with_J_with_h2,172,0.21335396136134,1.23782271512353,1,-0.0653662972194327,0.035810789469259,0.769000293216412,0.553900818495764,1.03881696526518e-16,0.000132468097283511,405.758464128198
AIW-N,actual_selection,free_b_with_J_with_h2,172,-0.313732795477652,0.730714252228626,0.757269877391394,-0.0443611818145504,0.0395466204732976,0.676814989908856,0.504261785852223,2.35599653481501e-16,0.735097539594935,363.831936405039
collapsed-R,oracle_lambda,fixed_b_no_J_no_h2,180,1.37634254713746,3.96039016582907,1,0,0,1.63660199550212,0.931434516972878,-1.87504333047804e-16,0,692.161841780489
collapsed-R,oracle_lambda,free_b_no_J_no_h2,180,-0.512946731947813,0.59872868386708,0.426647781457382,0,0,0.787581280470616,0.58022746816575,2.51650552248369e-16,0.645576900059205,430.853939841199
collapsed-R,oracle_lambda,fixed_b_with_J_no_h2,180,1.57241897287542,4.81828941960586,1,0.265766919435767,0,1.61285238116039,0.948276066563,-2.56584876802258e-16,0.0233563844423877,688.899411589283
collapsed-R,oracle_lambda,free_b_with_J_no_h2,180,-0.410701909639504,0.663184591072901,0.431972322563219,0.11480395344914,0,0.778499347313694,0.566916906356052,1.65299872555301e-16,0.65174730087311,428.678506558388
collapsed-R,oracle_lambda,fixed_b_no_J_with_h2,180,1.37634254713746,3.96039016582907,1,0,0.350612705351987,1.57040899821098,0.959888548203771,-1.72701359386135e-16,0.074082215180816,679.298865739117
collapsed-R,oracle_lambda,free_b_no_J_with_h2,180,-0.463606787773465,0.629010840599094,0.44162122505244,0,0.154838012456495,0.761765618963019,0.536028904978221,2.15876699232669e-16,0.666557678682842,420.855983335519
collapsed-R,oracle_lambda,fixed_b_with_J_with_h2,180,1.57241897287542,4.81828941960586,1,0.265766919435767,0.350612705351987,1.54564262796911,0.956557928056897,-2.368475785867e-16,0.0979891001860466,675.576187102958
collapsed-R,oracle_lambda,free_b_with_J_with_h2,180,-0.357089602188404,0.699709799396425,0.447328559670084,0.118885133279157,0.156839076487136,0.75169228518841,0.517243948245638,3.54037786741578e-16,0.673473246740691,418.063707712354
collapsed-R,actual_selection,fixed_b_no_J_no_h2,180,0.390845385818432,1.47822994043088,1,0,0,1.85870653333318,1.04513772836479,-4.48715139119334e-17,0,737.974972059559
collapsed-R,actual_selection,free_b_no_J_no_h2,180,-1.05548011049886,0.348025296590039,0.373794604693723,0,0,0.906519541997053,0.716585567144975,2.81256499571706e-16,0.530445949816198,481.486503055596
collapsed-R,actual_selection,fixed_b_with_J_no_h2,180,0.582014157925367,1.78963941947298,1,0.259114962260069,0,1.83886691404022,1.07346225229152,-2.09708793540307e-17,0.0157351513493265,736.111718718489
collapsed-R,actual_selection,free_b_with_J_no_h2,180,-0.973696547243513,0.377684326538245,0.377923508588613,0.0979256356651312,0,0.900785569532304,0.712798943696439,3.13329609171989e-16,0.53374787308619,481.202177071871
collapsed-R,actual_selection,fixed_b_no_J_with_h2,180,0.390845385818432,1.47822994043088,1,0,0.432749893641165,1.76957525682084,1.11804667237724,-6.5379800339037e-17,0.0885151554398975,722.284109914444
collapsed-R,actual_selection,free_b_no_J_with_h2,180,-1.01179519936701,0.363565720430582,0.392708553949196,0,0.16994458495349,0.879946594036414,0.682462096799941,3.01610588356501e-16,0.555071101175998,472.776009652943
collapsed-R,actual_selection,fixed_b_with_J_with_h2,180,0.582014157925367,1.78963941947298,1,0.259114962260069,0.432749893641165,1.74872471820149,1.12951680680235,-3.82410152926443e-17,0.104839291573343,720.017116290527
collapsed-R,actual_selection,free_b_with_J_with_h2,180,-0.925318110214428,0.396405298441438,0.397268421667265,0.10293819208743,0.171917867223502,0.873419317828074,0.68031192111375,2.50416971109896e-16,0.559156775395378,472.095644676929
