model,method,estimation_stage,held_out_fits,CV_RMSE,CV_MAE,CV_bias,maximum_absolute_true_eta0_bias,bias_at_true_eta0_20,bias_at_true_eta0_1000,maximum_absolute_group_bias,mean_fold_RMSE,SE_fold_RMSE,mean_fold_MAE,mean_absolute_fold_bias,free_b,include_J,include_h2,complexity
fixed_b_no_J_no_h2,AIW-N,actual_selection,172,0.778426368556719,0.563515880440024,-0.000412499490995479,0.243666098363114,0.00511651343959437,-0.206793573267161,0.555339334986901,0.755346648808806,0.0972959150433335,0.563892688959484,0.124618060820911,FALSE,FALSE,FALSE,0
fixed_b_no_J_no_h2,AIW-N,oracle_lambda_oracle_L,177,0.509490828118281,0.348120662747206,-0.000286302566488314,0.138797121913806,-0.027640249454828,-0.0196025601346455,0.431784773460594,0.491307544359374,0.0703400768074788,0.349044288486994,0.173972493260219,FALSE,FALSE,FALSE,0
fixed_b_no_J_no_h2,AIW-N,selected_lambda_oracle_L,175,0.673134712172169,0.483298464037211,-0.000423784676045778,0.317478196081371,0.261556253154131,-0.317478196081371,0.474208467026654,0.668297503143327,0.0463376193410505,0.484205163581923,0.10142072735291,FALSE,FALSE,FALSE,0
fixed_b_no_J_no_h2,collapsed-R,actual_selection,180,1.87596122663202,1.05842634318219,-5.69760288331938e-17,0.854252539935973,-0.854252539935973,0.5632787257259,2.41379210134284,1.82272403936795,0.221871359202179,1.05842634318219,0.316525834177249,FALSE,FALSE,FALSE,0
fixed_b_no_J_no_h2,collapsed-R,oracle_lambda,180,1.65588168655086,0.945610272182261,1.20890951570295e-16,1.03827179239227,-1.03827179239227,0.631299862019389,2.07042682527359,1.56935186398516,0.264139587557807,0.945610272182261,0.390269281519236,FALSE,FALSE,FALSE,0
fixed_b_no_J_with_h2,AIW-N,actual_selection,172,0.777142366017975,0.565512087764341,-0.00068132524642433,0.24238431525001,0.00220486239906116,-0.205376173477333,0.492042485288751,0.753961738173746,0.0973392330665446,0.565892614259154,0.124937951029866,FALSE,FALSE,TRUE,1
fixed_b_no_J_with_h2,AIW-N,oracle_lambda_oracle_L,177,0.507771701263294,0.337752453687495,-0.000426636555894954,0.137864591882719,-0.0263686455922611,-0.0183309562720786,0.455457965094269,0.487100963726189,0.0745306415714506,0.338673920884627,0.173053275051356,FALSE,FALSE,TRUE,1
fixed_b_no_J_with_h2,AIW-N,selected_lambda_oracle_L,175,0.676757761735513,0.485353365583549,-0.000662405782078006,0.318017284427761,0.262181736522347,-0.318017284427761,0.522892165930868,0.672007753464708,0.0461407208189529,0.486283340105704,0.10116091772225,FALSE,FALSE,TRUE,1
fixed_b_no_J_with_h2,collapsed-R,actual_selection,180,1.80666989063329,1.1453458662182,7.40148683083438e-18,0.854252539935973,-0.854252539935973,0.5632787257259,1.82564057473386,1.77342993452196,0.172483594192566,1.1453458662182,0.316525834177249,FALSE,FALSE,TRUE,1
fixed_b_no_J_with_h2,collapsed-R,oracle_lambda,180,1.59991253981211,0.980397966614914,-4.68760832619511e-17,1.03827179239227,-1.03827179239227,0.631299862019389,1.56973860139081,1.52953951935955,0.23464281033381,0.980397966614914,0.390269281519236,FALSE,FALSE,TRUE,1
fixed_b_with_J_no_h2,AIW-N,actual_selection,172,0.788666544576901,0.571780689965009,-0.00794412578143506,0.232216620173939,0.00257951263104635,-0.210199919875941,0.586425064945468,0.767695147437508,0.0948251352981293,0.572584857787383,0.133188379681175,FALSE,TRUE,FALSE,1
fixed_b_with_J_no_h2,AIW-N,oracle_lambda_oracle_L,177,0.510836634617389,0.343743683816741,-0.0138235676434052,0.127236772557624,-0.0419683554460812,-0.0339306661258987,0.449208909599803,0.491751360152726,0.0721062510779448,0.344655343028248,0.167515610417453,FALSE,TRUE,FALSE,1
fixed_b_with_J_no_h2,AIW-N,selected_lambda_oracle_L,175,0.682205665054025,0.491047418049316,-0.0107286183254083,0.327143657854767,0.252701992993762,-0.327143657854767,0.484988359989006,0.677957501666429,0.0442361194768205,0.491926986558803,0.106344239034742,FALSE,TRUE,FALSE,1
fixed_b_with_J_no_h2,collapsed-R,actual_selection,180,1.85600358354416,1.08580900335427,-0.0120180168776657,0.866270556813639,-0.866270556813639,0.551260708848235,2.17531295014003,1.79849342061436,0.229221900205693,1.08580900335427,0.221740018185641,FALSE,TRUE,FALSE,1
fixed_b_with_J_no_h2,collapsed-R,oracle_lambda,180,1.63049313420726,0.964406921441734,-0.0293924382103066,1.06766423060258,-1.06766423060258,0.601907423809083,1.83088558162391,1.53212867126772,0.278877031761505,0.964406921441734,0.297457535895124,FALSE,TRUE,FALSE,1
fixed_b_with_J_with_h2,AIW-N,actual_selection,172,0.787804683822483,0.573170207161268,-0.00850461873690219,0.230668262664652,-0.000538822329777932,-0.209132109660442,0.523553119187064,0.766834192516941,0.0947208045506123,0.573955980677295,0.13278351061461,FALSE,TRUE,TRUE,2
fixed_b_with_J_with_h2,AIW-N,oracle_lambda_oracle_L,177,0.509203060301724,0.335577604113932,-0.0138130050537453,0.126445300329609,-0.0405493495525714,-0.0325116602323889,0.41101905261065,0.487645388902533,0.076176571110984,0.336527761621517,0.166823034913752,FALSE,TRUE,TRUE,2
fixed_b_with_J_with_h2,AIW-N,selected_lambda_oracle_L,175,0.685672027181009,0.493357516605418,-0.0106686367177573,0.327372146559269,0.253671520897016,-0.327372146559269,0.534827911479155,0.68148836482219,0.0440975884874989,0.49425267361681,0.106213102382937,FALSE,TRUE,TRUE,2
fixed_b_with_J_with_h2,collapsed-R,actual_selection,180,1.78593809299846,1.15676991009797,-0.0120180168776657,0.866270556813639,-0.866270556813639,0.551260708848235,1.58716142353104,1.74948391594646,0.179499930269925,1.15676991009797,0.221740018185641,FALSE,TRUE,TRUE,2
fixed_b_with_J_with_h2,collapsed-R,oracle_lambda,180,1.57362124918626,0.979788464525152,-0.0293924382103067,1.06766423060258,-1.06766423060258,0.601907423809083,1.33019735774113,1.49322084086936,0.248281773537603,0.979788464525152,0.297457535895124,FALSE,TRUE,TRUE,2
free_b_no_J_no_h2,AIW-N,actual_selection,172,0.7048856913188,0.52044758911493,8.9742491509643e-05,0.634439732663965,0.469675801774229,-0.634439732663965,0.5495288107145,0.691885912882589,0.0697462463394365,0.520182921547078,0.101452182288474,TRUE,FALSE,FALSE,1
free_b_no_J_no_h2,AIW-N,oracle_lambda_oracle_L,177,0.495467471816491,0.343587418879585,0.0045834817495214,0.224925845476837,0.20285854436437,-0.224925845476837,0.376494504296193,0.481580278013542,0.0609216969906995,0.344322222733341,0.159247683096011,TRUE,FALSE,FALSE,1
free_b_no_J_no_h2,AIW-N,selected_lambda_oracle_L,175,0.672464605271253,0.49025922604432,0.00151978151982334,0.488922707218344,0.446123564035065,-0.488922707218344,0.469879852950095,0.669867837794618,0.0361056217972395,0.491068366946305,0.0940495315419119,TRUE,FALSE,FALSE,1
free_b_no_J_no_h2,collapsed-R,actual_selection,180,0.924037015246786,0.726092075161383,0.00809732706763607,0.963110528105824,0.928401977290117,-0.963110528105824,0.968631704542394,0.91727068875708,0.055809696947082,0.726092075161383,0.119404199585729,TRUE,FALSE,FALSE,1
