calibration_group,method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds,log_true_centered,log_hat_centered,log_J_centered,log_h2_centered,finite_for_calibration,fold
1000:31,AIW-N,actual_selection,1000,2e-04,20,0.001,31,7.91869408932213,0.004,1,TRUE,interior,5529.242766514,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,2.431,-3.91202300542815,-4.83852897446313,0,-1.6094379124341,TRUE,2
1000:31,AIW-N,oracle_lambda_oracle_L,1000,2e-04,20,0.001,31,6.89989966670878,0.001,2,TRUE,interior,5465.77308745218,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,2.431,-3.91202300542815,-4.97624840854134,0,-1.6094379124341,TRUE,2
1000:31,AIW-N,selected_lambda_oracle_L,1000,2e-04,20,0.001,31,14.9194959350298,0.004,2,TRUE,interior,5524.63885886655,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,2.431,-3.91202300542815,-4.20508646929266,0,-1.6094379124341,TRUE,2
1000:31,collapsed-R,actual_selection,1000,2e-04,20,0.001,31,4.94523813336661,0.004,0,TRUE,interior,5526.80959537634,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,0.522999999999999,-3.91202300542815,-5.30933015867329,0,-1.6094379124341,TRUE,2
1000:31,collapsed-R,oracle_lambda,1000,2e-04,20,0.001,31,1.28510613942221,0.001,0,TRUE,interior,5469.35242466203,TRUE,-6.84577189184798e-05,2e-04,5.81321005603133,-2.49170059333966,0.522999999999999,-3.91202300542815,-6.6569139652739,0,-1.6094379124341,TRUE,2
1000:31,AIW-N,actual_selection,1000,0.001,20,0.001,31,14.0376763714895,0.006,1,TRUE,interior,5019.61917439392,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,2.496,-3.91202300542815,-4.26601039468737,0,0,TRUE,2
1000:31,AIW-N,oracle_lambda_oracle_L,1000,0.001,20,0.001,31,9.14444268974152,0.001,2,TRUE,interior,4947.0953973886,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,2.496,-3.91202300542815,-4.69460894052267,0,0,TRUE,2
1000:31,AIW-N,selected_lambda_oracle_L,1000,0.001,20,0.001,31,23.1430268569953,0.006,2,TRUE,interior,5015.04624472426,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,2.496,-3.91202300542815,-3.766061759505,0,0,TRUE,2
1000:31,collapsed-R,actual_selection,1000,0.001,20,0.001,31,2.568849097336,0.004,0,TRUE,interior,5015.68545321978,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,0.460999999999997,-3.91202300542815,-5.9642973024255,0,0,TRUE,2
1000:31,collapsed-R,oracle_lambda,1000,0.001,20,0.001,31,1,0.001,0,TRUE,interior,4951.43486232958,TRUE,-6.84577189184798e-05,0.001,12.9987328527714,-5.57161190628405,0.460999999999997,-3.91202300542815,-6.90775527898214,0,0,TRUE,2
