method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
AIW-N,actual_selection,100,2e-04,20,0.001,31,11.0145717758006,0.001,5,TRUE,interior,573.348002100918,TRUE,-0.000190100732077141,2e-04,5.81325708970929,-2.49229794816199,0.372
AIW-N,oracle_lambda_oracle_L,100,2e-04,20,0.001,31,10.9692668772933,0.001,2,TRUE,interior,571.644061459405,TRUE,-0.000190100732077141,2e-04,5.81325708970929,-2.49229794816199,0.372
AIW-N,selected_lambda_oracle_L,100,2e-04,20,0.001,31,15.6926679451186,0.002,2,TRUE,interior,572.192540776623,TRUE,-0.000190100732077141,2e-04,5.81325708970929,-2.49229794816199,0.372
collapsed-R,actual_selection,100,2e-04,20,0.001,31,8.42862456811102,0.002,0,TRUE,interior,569.96743444706,TRUE,-0.000190100732077141,2e-04,5.81325708970929,-2.49229794816199,0.457000000000001
collapsed-R,oracle_lambda,100,2e-04,20,0.001,31,5.42763033144409,0.001,0,TRUE,interior,569.486986473582,TRUE,-0.000190100732077141,2e-04,5.81325708970929,-2.49229794816199,0.457000000000001
AIW-N,actual_selection,100,0.001,20,0.001,31,10.6977241276618,0.002,1,TRUE,interior,495.997498914279,TRUE,-0.000190100732077141,0.001,12.9988380232726,-5.57294763227345,0.277
AIW-N,oracle_lambda_oracle_L,100,0.001,20,0.001,31,10.1053535186722,0.001,2,TRUE,interior,491.197516155172,TRUE,-0.000190100732077141,0.001,12.9988380232726,-5.57294763227345,0.277
AIW-N,selected_lambda_oracle_L,100,0.001,20,0.001,31,13.4613871119263,0.002,2,TRUE,interior,491.774635565096,TRUE,-0.000190100732077141,0.001,12.9988380232726,-5.57294763227345,0.277
collapsed-R,actual_selection,100,0.001,20,0.001,31,5.93869823751659,0.002,0,TRUE,interior,493.664309171301,TRUE,-0.000190100732077141,0.001,12.9988380232726,-5.57294763227345,0.712
collapsed-R,oracle_lambda,100,0.001,20,0.001,31,4.02518363401588,0.001,0,TRUE,interior,493.235798947321,TRUE,-0.000190100732077141,0.001,12.9988380232726,-5.57294763227345,0.712
AIW-N,actual_selection,100,0.005,20,0.001,31,10.426753309333,0.002,1,TRUE,interior,415.734868286434,TRUE,-0.000190100732077141,0.005,29.0662854485465,-12.4614897408099,0.302000000000001
AIW-N,oracle_lambda_oracle_L,100,0.005,20,0.001,31,10.2025048108343,0.001,2,TRUE,interior,410.95379218263,TRUE,-0.000190100732077141,0.005,29.0662854485465,-12.4614897408099,0.302000000000001
AIW-N,selected_lambda_oracle_L,100,0.005,20,0.001,31,13.4164014961437,0.002,2,TRUE,interior,411.520188078256,TRUE,-0.000190100732077141,0.005,29.0662854485465,-12.4614897408099,0.302000000000001
collapsed-R,actual_selection,100,0.005,20,0.001,31,1.36188796475411,0.001,0,TRUE,interior,410.815908451036,TRUE,-0.000190100732077141,0.005,29.0662854485465,-12.4614897408099,0.767999999999999
collapsed-R,oracle_lambda,100,0.005,20,0.001,31,1.36188796475411,0.001,0,TRUE,interior,410.815908451036,TRUE,-0.000190100732077141,0.005,29.0662854485465,-12.4614897408099,0.767999999999999
AIW-N,actual_selection,100,2e-04,50,0.001,31,10.4554508287282,0.001,1,TRUE,interior,576.601460593785,TRUE,2.11521492222183e-07,2e-04,5.81318367153412,2.49136543442334,0.354
AIW-N,oracle_lambda_oracle_L,100,2e-04,50,0.001,31,16.7111905278969,0.001,2,TRUE,interior,574.582934839628,TRUE,2.11521492222183e-07,2e-04,5.81318367153412,2.49136543442334,0.354
AIW-N,selected_lambda_oracle_L,100,2e-04,50,0.001,31,16.7111905278969,0.001,2,TRUE,interior,574.582934839628,TRUE,2.11521492222183e-07,2e-04,5.81318367153412,2.49136543442334,0.354
collapsed-R,actual_selection,100,2e-04,50,0.001,31,8.00184029632387,0.001,0,TRUE,interior,574.25139795464,TRUE,2.11521492222183e-07,2e-04,5.81318367153412,2.49136543442334,0.378000000000002
collapsed-R,oracle_lambda,100,2e-04,50,0.001,31,8.00184029632387,0.001,0,TRUE,interior,574.25139795464,TRUE,2.11521492222183e-07,2e-04,5.81318367153412,2.49136543442334,0.378000000000002
