method,J,finite_fits,multiplier,mean_log_ratio,SE_log_ratio,multiplier_CI_lower,multiplier_CI_upper
AIW-N,100,41,1.70929492493849,0.536080960888034,0.11734613433292,1.35809439576794,2.15131521750253
AIW-N,250,45,1.22978847439342,0.206842182557574,0.0966401542859994,1.01758022471678,1.48625106405919
AIW-N,500,48,1.53804731609904,0.43051363530401,0.0673356825926328,1.34788365231014,1.7550398675027
AIW-N,1000,46,1.45093888216378,0.372210851832143,0.0742486673146195,1.25443273183933,1.67822760546742
AIW-N,2000,48,1.27106298961023,0.239853550074689,0.0635991665124945,1.12209691874177,1.43980532926559
collapsed-R,100,41,1.80773440199616,0.592074349628098,0.151924735918161,1.34218900539561,2.43475669598202
collapsed-R,250,45,1.50448890926758,0.4084532453543,0.105235876175641,1.2240816973333,1.84913056296833
collapsed-R,500,48,1.85300076342336,0.616806359296317,0.106829475371084,1.50293608898649,2.28460268830395
collapsed-R,1000,48,1.54039703932535,0.432040200939987,0.120309434866875,1.2168112513611,1.95003377566415
collapsed-R,2000,48,1.71471517007328,0.539246985234903,0.0896488542062963,1.43840553246433,2.04410233979154
