J,panel_seed,true_eta0,true_L,true_lambda,h2,N,N0,causal,maximum_abs_causal_ld,minimum_expected_abs_z,maximum_expected_abs_z,achieved_h2,method,raw_eta0,selected_lambda,selected_model_L,raw_pure_L,eta0_boundary,converged,fit_seconds
500,51,20,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,24.9119563659155,0.002,1,1,interior,TRUE,1.194
500,51,20,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,collapsed-R,19.0854219413771,0.002,5,1,interior,TRUE,0.715
500,51,20,2,0.001,0.001,200000,2000,124;357,0.00216440441257585,8.20344376028293,11.5019184186929,0.001,AIW-N,10.060983549917,0.004,1,1,interior,TRUE,1.076
500,51,20,2,0.001,0.001,200000,2000,124;357,0.00216440441257585,8.20344376028293,11.5019184186929,0.001,collapsed-R,4.31917744595027,0.004,5,0,interior,TRUE,0.368
500,51,20,3,0.001,0.001,200000,2000,124;357;59,0.00994416214715798,4.53406179616359,10.8488720676402,0.001,AIW-N,10.464954302619,0.004,1,1,interior,TRUE,1.06
500,51,20,3,0.001,0.001,200000,2000,124;357;59,0.00994416214715798,4.53406179616359,10.8488720676402,0.001,collapsed-R,4.79824760761329,0.004,5,0,interior,TRUE,0.369
500,51,50,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,35.7159616634478,0.004,1,1,interior,TRUE,1.097
500,51,50,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,collapsed-R,30.7356625222711,0.004,5,1,interior,TRUE,0.686
500,51,50,2,0.001,0.001,200000,2000,124;168,0.00137119125474093,8.23039295729915,11.511736872967,0.001,AIW-N,46.8664104852158,0.006,2,2,interior,TRUE,1.213
500,51,50,2,0.001,0.001,200000,2000,124;168,0.00137119125474093,8.23039295729915,11.511736872967,0.001,collapsed-R,15.1313254081199,0.004,5,0,interior,TRUE,0.403
500,51,50,3,0.001,0.001,200000,2000,124;168;364,0.0117092623667324,4.51696069211876,10.8825669819415,0.001,AIW-N,16.3798697600916,0.004,1,1,interior,TRUE,1.229
500,51,50,3,0.001,0.001,200000,2000,124;168;364,0.0117092623667324,4.51696069211876,10.8825669819415,0.001,collapsed-R,10.8907485157293,0.004,5,0,interior,TRUE,0.369999999999999
500,51,100,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,100.783337922328,0.004,1,1,interior,TRUE,1.334
500,51,100,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,collapsed-R,99.1478069256227,0.004,5,1,interior,TRUE,1.239
500,51,100,2,0.001,0.001,200000,2000,124;204,0.000685585700015229,8.22517234595998,11.5098329772263,0.001,AIW-N,97.1565798367751,0.004,2,2,interior,TRUE,1.151
500,51,100,2,0.001,0.001,200000,2000,124;204,0.000685585700015229,8.22517234595998,11.5098329772263,0.001,collapsed-R,58.0689920362639,0.004,5,1,interior,TRUE,1.029
500,51,100,3,0.001,0.001,200000,2000,124;204;445,0.0133376619652911,4.85845643548354,10.8726538380824,0.001,AIW-N,80.3716995183643,0.004,2,2,interior,TRUE,1.115
500,51,100,3,0.001,0.001,200000,2000,124;204;445,0.0133376619652911,4.85845643548354,10.8726538380824,0.001,collapsed-R,48.2345043499168,0.004,5,1,interior,TRUE,0.960000000000001
500,51,200,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,111.377089205521,0.001,5,1,interior,TRUE,1.056
500,51,200,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,collapsed-R,91.8894387873246,0.001,5,1,interior,TRUE,0.556999999999999
500,51,200,2,0.001,0.001,200000,2000,124;268,0.000230272354748061,8.21819452101473,11.507289641372,0.001,AIW-N,105.403887916671,0.002,2,2,interior,TRUE,1.243
500,51,200,2,0.001,0.001,200000,2000,124;268,0.000230272354748061,8.21819452101473,11.507289641372,0.001,collapsed-R,102.482746734218,0.002,5,2,interior,TRUE,0.611000000000001
500,51,200,3,0.001,0.001,200000,2000,124;268;53,0.0262976214294466,4.37665894450899,10.8984994839082,0.001,AIW-N,104.467884559051,0.002,2,2,interior,TRUE,1.074
500,51,200,3,0.001,0.001,200000,2000,124;268;53,0.0262976214294466,4.37665894450899,10.8984994839082,0.001,collapsed-R,100.640344430909,0.002,5,2,interior,TRUE,0.609999999999999
500,51,500,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,525.486838877386,0.002,5,1,interior,TRUE,1.42
500,51,500,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,collapsed-R,404.778311345883,0.002,5,1,interior,TRUE,1.102
500,51,500,2,0.001,0.001,200000,2000,124;307,0.000309984783695731,8.21758698747497,11.5070682780397,0.001,AIW-N,420.615057345356,0.002,5,2,interior,TRUE,1.165
500,51,500,2,0.001,0.001,200000,2000,124;307,0.000309984783695731,8.21758698747497,11.5070682780397,0.001,collapsed-R,352.400869231971,0.002,5,2,interior,TRUE,1.173
500,51,500,3,0.001,0.001,200000,2000,124;307;247,0.00905371214795816,4.76251022449464,10.8774209431298,0.001,AIW-N,358.522251671049,0.002,3,2,interior,TRUE,1.017
500,51,500,3,0.001,0.001,200000,2000,124;307;247,0.00905371214795816,4.76251022449464,10.8774209431298,0.001,collapsed-R,335.554466252359,0.002,5,2,interior,TRUE,0.976999999999997
500,51,1000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,327.108955135256,0.001,5,1,interior,TRUE,0.976999999999997
500,51,1000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,collapsed-R,301.640992406556,0.001,5,1,interior,TRUE,0.972000000000001
500,51,1000,2,0.001,0.001,200000,2000,124;325,0.00262247853991935,8.23991452059112,11.5152115744971,0.001,AIW-N,365.823873242949,0.001,5,2,interior,TRUE,1
500,51,1000,2,0.001,0.001,200000,2000,124;325,0.00262247853991935,8.23991452059112,11.5152115744971,0.001,collapsed-R,325.014555777534,0.001,5,2,interior,TRUE,0.870000000000005
500,51,1000,3,0.001,0.001,200000,2000,124;325;55,0.0139733347352979,4.74252271008439,10.9135829689839,0.001,AIW-N,267.858941598118,0.001,2,2,interior,TRUE,1.086
500,51,1000,3,0.001,0.001,200000,2000,124;325;55,0.0139733347352979,4.74252271008439,10.9135829689839,0.001,collapsed-R,277.000140177775,0.001,5,2,interior,TRUE,1.028
500,51,2000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,818.649633653418,0.001,1,1,interior,TRUE,0.964999999999996
500,51,2000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,collapsed-R,859.233837530037,0.001,5,1,interior,TRUE,0.740000000000002
500,51,2000,2,0.001,0.001,200000,2000,124;349,0.000558952905850304,8.22420781233462,11.5094813208827,0.001,AIW-N,943.856103421259,0.001,5,2,interior,TRUE,1.056
500,51,2000,2,0.001,0.001,200000,2000,124;349,0.000558952905850304,8.22420781233462,11.5094813208827,0.001,collapsed-R,1007.47035341358,0.001,5,2,interior,TRUE,0.778999999999996
500,51,2000,3,0.001,0.001,200000,2000,124;349;298,0.0142037043224985,4.56999066120396,10.8983520582391,0.001,AIW-N,1004.71912638294,0.001,5,2,interior,TRUE,0.985999999999997
500,51,2000,3,0.001,0.001,200000,2000,124;349;298,0.0142037043224985,4.56999066120396,10.8983520582391,0.001,collapsed-R,937.612859895327,0.001,5,2,interior,TRUE,0.585000000000001
500,51,5000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,AIW-N,3852.02637461451,0.001,5,1,interior,TRUE,1
500,51,5000,1,0.001,0.001,200000,2000,124,0,14.142135623731,14.142135623731,0.001,collapsed-R,8303.75230207284,0.001,5,1,interior,TRUE,0.393999999999998
500,51,5000,2,0.001,0.001,200000,2000,124;332,0.002085022136909,8.20404956981333,11.502138872613,0.001,AIW-N,3984.17379831456,0.001,5,2,interior,TRUE,1.08300000000001
500,51,5000,2,0.001,0.001,200000,2000,124;332,0.002085022136909,8.20404956981333,11.502138872613,0.001,collapsed-R,8789.79062238112,0.001,5,2,interior,TRUE,0.428000000000004
500,51,5000,3,0.001,0.001,200000,2000,124;332;77,0.0106838820972327,4.80919175243491,10.8670991636946,0.001,AIW-N,7961.12856998067,0.001,5,3,interior,TRUE,1.016
500,51,5000,3,0.001,0.001,200000,2000,124;332;77,0.0106838820972327,4.80919175243491,10.8670991636946,0.001,collapsed-R,32874.3733023214,0.001,5,3,interior,TRUE,0.475000000000001
