"true_lambda","true_eta0","r0_seed","replicate","seed","profile_type","candidate_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,1,100002,"calibrated_eta0",1e-05,2,3.074,1.537,-2.30258509299405,-1.87275262843759,-4.60517018598809,"lower",1256.31201134929,-691.034791331955,0,0,0,FALSE,0.029138171603718,0.0223944732111651,TRUE,153,0.862,"222, 230"
0.001,20,3,1,100002,"calibrated_eta0",1e-04,2,3.074,1.537,-2.30258509299405,-1.87275262843759,-2.30258509299405,"lower",1650.93998634868,-296.406816332559,0,0,0,FALSE,0.0287807977129806,0.0222822148288474,TRUE,142,0.69,"222, 230"
0.001,20,3,1,100002,"calibrated_eta0",0.001,2,3.074,1.537,-2.30258509299405,-1.87275262843759,0,"lower",1868.44477894998,-78.9020237312666,0,0,0,FALSE,0.028597274723282,0.0222234128989593,TRUE,137,0.663,"222, 230"
0.001,20,3,1,100002,"calibrated_eta0",0.002,2,3.074,1.537,-2.30258509299405,-1.87275262843759,0.693147180559945,"lower",1905.62239907395,-41.7244036072884,0,0,0,FALSE,0.0285972446555385,0.0222234030233246,TRUE,137,0.662999999999999,"222, 230"
0.001,20,3,1,100002,"calibrated_eta0",0.004,12.0892834185228,18.5812286142696,1.537,-0.503412881277504,-0.0735804167210454,1.38629436111989,"interior",1931.33175571488,-16.0150469663627,1,1,0.5,FALSE,0.162989161133562,0.00797204550598185,TRUE,76,0.481,"222, 230"
0.001,20,3,1,100002,"calibrated_eta0",0.006,15.5037686034755,23.8292923435418,1.537,-0.254649143473391,0.175183321083068,1.79175946922805,"interior",1940.9971345563,-6.34966812494531,1,1,0.5,FALSE,0.173732599111457,0.00803323841061154,TRUE,61,0.391,"222, 230"
0.001,20,3,1,100002,"calibrated_eta0",0.008,18.5102124777273,28.4501965782668,1.537,-0.0774096679568199,0.352422796599639,2.07944154167984,"interior",1945.36309810217,-1.98370457907458,1,1,0.5,FALSE,0.181721271687785,0.00815855392264653,TRUE,52,0.344000000000001,"222, 230"
0.001,20,3,1,100002,"calibrated_eta0",0.01,21.2723899320671,32.6956633255872,1.537,0.0616777109853222,0.491510175541781,2.30258509299405,"interior",1947.34680268124,0,1,1,0.5,FALSE,0.186947968729071,0.00891228565268387,TRUE,121,0.392,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",1e-05,2,2,1,-2.30258509299405,-2.30258509299405,-4.60517018598809,"lower",1258.38387238251,-689.783384814893,0,0,0,FALSE,0.020664776345493,0.0190008284035104,TRUE,150,0.668,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",1e-04,2,2,1,-2.30258509299405,-2.30258509299405,-2.30258509299405,"lower",1651.98226205434,-296.184995143055,0,0,0,FALSE,0.0207740678687657,0.0190634165640762,TRUE,133,0.528,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower",1868.76447494845,-79.40278224895,0,0,0,FALSE,0.0208401697191358,0.0191008101608966,TRUE,126,0.5,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.002,2,2,1,-2.30258509299405,-2.30258509299405,0.693147180559945,"lower",1905.75541014966,-42.411847047742,0,0,0,FALSE,0.0208929212248622,0.0191300378791047,TRUE,126,0.5,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.004,12.0892834185228,12.0892834185228,1,-0.503412881277504,-0.503412881277504,1.38629436111989,"interior",1931.89208168598,-16.2751755114152,1,1,0.5,FALSE,0.146771836517194,0.00796644758247567,TRUE,107,0.391,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.006,15.5037686034755,15.5037686034755,1,-0.254649143473391,-0.254649143473391,1.79175946922805,"interior",1941.68521263303,-6.48204456437065,1,1,0.5,FALSE,0.155870274904535,0.00795256634049801,TRUE,87,0.319,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.008,18.5102124777273,18.5102124777273,1,-0.0774096679568199,-0.0774096679568199,2.07944154167984,"interior",1946.14728623051,-2.01997096688865,1,1,0.5,FALSE,0.162966112496464,0.00797057500272802,TRUE,77,0.283,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.01,21.2723899320671,21.2723899320671,1,0.0616777109853222,0.0616777109853222,2.30258509299405,"interior",1948.1672571974,0,1,1,0.5,FALSE,0.16880937793881,0.00800410564380116,TRUE,68,0.253,"222, 230"
0.001,20,3,2,100003,"calibrated_eta0",1e-05,2,3.074,1.537,-2.30258509299405,-1.87275262843759,-4.60517018598809,"lower",1244.20391231433,-591.920420504898,0,0,0,FALSE,0.0536031300150696,0.050580698315056,TRUE,304,0.911999999999999,"262, 268"
