"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_matching_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,1,100002,"joint_lambda_calibrated_eta0",0.01,21.2723899320671,32.6956633255872,1.537,0.0616777109853222,0.491510175541781,2.30258509299405,"interior","upper",1947.34680268124,78.9020237312666,1,1,0.5,FALSE,0.186947968729071,0.00891228565268387,TRUE,121,0.392,"222, 230"
0.001,20,3,1,100002,"joint_lambda_profiled_eta0",0.01,21.2723899320671,21.2723899320671,1,0.0616777109853222,0.0616777109853222,2.30258509299405,"interior","upper",1948.1672571974,79.40278224895,1,1,0.5,FALSE,0.16880937793881,0.00800410564380116,TRUE,68,0.253,"222, 230"
0.001,20,3,1,100002,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28304.4136196284,NA,1,1,0.5,FALSE,0.283668887341176,0,TRUE,3,0.0290000000000004,"222, 230"
0.001,20,3,1,100002,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28234.7020368328,NA,5,0.2,0.5,FALSE,0.294404113743802,1.69995484355923e-07,TRUE,24,0.065,"222, 230"
0.001,20,3,2,100003,"joint_lambda_calibrated_eta0",0.004,8.88173875165216,13.6512324612894,1.537,-0.811734930351046,-0.381902465794588,1.38629436111989,"interior","interior",1836.12433281923,31.4962154567613,0,0,0,FALSE,0.171149181673646,0.0815928229830407,TRUE,117,0.773999999999999,"262, 268"
0.001,20,3,2,100003,"joint_lambda_profiled_eta0",0.004,8.88173875165216,8.88173875165216,1,-0.811734930351046,-0.811734930351046,1.38629436111989,"interior","interior",1836.49197805571,31.7430381365209,0,0,0,FALSE,0.144027502993711,0.0930778935720799,TRUE,170,0.641,"262, 268"
0.001,20,3,2,100003,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28279.9099872854,NA,2,1,1,TRUE,0.38419783356465,0.276747807650033,TRUE,29,0.111000000000001,"262, 268"
0.001,20,3,2,100003,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28167.6133788052,NA,5,0.2,0.5,FALSE,0.136212417164479,0.000801472193511454,TRUE,8,0.0220000000000002,"262, 268"
0.001,20,3,3,100004,"joint_lambda_calibrated_eta0",0.008,3.94005284447122,6.05586122195227,1.537,-1.62453813803175,-1.19470567347529,2.07944154167984,"interior","interior",1868.03653112365,43.8642720114449,0,0,0,FALSE,0.0738578476521349,0.0622453371969967,TRUE,119,0.553999999999998,"231, 273"
0.001,20,3,3,100004,"joint_lambda_profiled_eta0",0.008,3.94005284447122,3.94005284447122,1,-1.62453813803175,-1.62453813803175,2.07944154167984,"interior","interior",1868.09847850095,43.5485165746293,0,0,0,FALSE,0.0388362753313611,0.036138376540129,TRUE,109,0.419,"231, 273"
