"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_raw_eta0_hat","raw_eta0_q10","raw_eta0_q90","median_eta0_used","eta0_used_q10","eta0_used_q90","median_raw_log_eta0_error","median_used_log_eta0_error","median_log_lambda_error","raw_eta0_underestimate_frequency","used_eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_matching_oracle","median_elbo_gain_over_matching_oracle","mean_selected_L","mean_raw_selected_L","fallback_frequency","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.001,20,"joint_lambda_calibrated_eta0",15,0.006,0,3.94005284447122,2,20.4809451936722,6.05586122195227,3.074,31.4792127626742,-1.62453813803175,-1.19470567347529,1.79175946922805,0.866666666666667,0.666666666666667,0.266666666666667,0.2,40.4972948275138,43.8642720114449,1,0.4,1,0.933333333333333,0.466666666666667,0,0.344983307272522,1,119,0.745000000000118
0.001,20,"joint_lambda_profiled_eta0",15,0.006,0,3.94005284447122,2,20.4809451936722,3.94005284447122,2,20.4809451936722,-1.62453813803175,-1.62453813803175,1.79175946922805,0.866666666666667,0.866666666666667,0.266666666666667,0.2,40.4941958954751,43.5485165746293,1,0.4,1,0.933333333333333,0.466666666666667,0,0.344983307272522,1,116,0.572999999999979
0.001,20,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,0,1,0.9,0.8,0.589061729331841,1,7,0.0289999999999999
0.001,20,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66666666666667,4.66666666666667,0,0.26,0.6,0.2,0.424578657079731,1,9,0.0259999999999998
0.001,43,"joint_lambda_calibrated_eta0",15,0.004,0,26.4588628394924,16.4949514655865,36.7300650937742,40.6672721842998,25.3527404026065,56.4541100491309,-0.485608934517861,-0.0557764699614025,1.38629436111989,1,0.533333333333333,0,0,20.6149305283636,20.8003180485564,1.06666666666667,1.06666666666667,0.933333333333333,1,0.533333333333333,0.0666666666666667,0.331661723913935,1,42,0.331000000000017
0.001,43,"joint_lambda_profiled_eta0",15,0.004,0,25.4276233519998,16.4949514655865,36.7300650937742,25.4276233519998,16.4949514655865,36.7300650937742,-0.525363999061972,-0.525363999061972,1.38629436111989,1,1,0,0,20.9936081570547,21.3793156736572,1,0.8,1,1,0.5,0,0.326204016573808,1,71,0.288999999999987
0.001,43,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,1,0.966666666666667,0.933333333333333,0.771146987173255,1,6,0.0240000000000009
0.001,43,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13333333333333,4.13333333333333,0,0.368888888888889,0.733333333333333,0.466666666666667,0.4982780937925,1,12,0.0330000000000013
0.001,95,"joint_lambda_calibrated_eta0",15,0.002,0.0666666666666667,59.9712412802065,32.6070053832948,95.2732073569273,92.1757978476774,50.116967274124,146.434919707597,-0.460011756281713,-0.0301792917252541,0.693147180559945,0.866666666666667,0.6,0,0,13.4456401635746,12.9211310596343,1.2,1.2,0.8,0.933333333333333,0.566666666666667,0.2,0.437253399577046,1,38,0.260000000000019
0.001,95,"joint_lambda_profiled_eta0",15,0.004,0.0666666666666667,61.1872043085283,32.6070053832948,97.3649799849746,61.1872043085283,32.6070053832948,97.3649799849746,-0.439938803868523,-0.439938803868523,1.38629436111989,0.8,0.8,0,0,13.5925153610373,12.7985811371514,1.13333333333333,1.13333333333333,0.866666666666667,0.933333333333333,0.533333333333333,0.133333333333333,0.419510082789583,1,40,0.186
