"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_matching_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal","raw_selected_L","raw_coverage","raw_power","raw_all_causal_covered","raw_mean_causal_pip","raw_minimum_causal_pip","fallback_used","ser_credible_set_size","ser_fit_seconds"
0.001,20,3,1,100002,"joint_lambda_2x_eta0",0.01,21.2723899320671,42.5447798641343,2,0.0616777109853222,0.754824891545268,2.30258509299405,"interior","upper",1945.91479561447,77.754453812762,1,1,0.5,FALSE,0.283257977937779,0,TRUE,58,0.330000000000001,"222, 230",1,1,0.5,FALSE,0.195302514056803,0.0113389085523127,TRUE,2,0.0189999999999992
0.001,20,3,1,100002,"joint_lambda_profiled_eta0",0.01,21.2723899320671,21.2723899320671,1,0.0616777109853222,0.0616777109853222,2.30258509299405,"interior","upper",1948.1672571974,79.40278224895,1,1,0.5,FALSE,0.283257977937779,0,TRUE,68,0.265,"222, 230",1,1,0.5,FALSE,0.16880937793881,0.00800410564380116,TRUE,2,0.0189999999999992
0.001,20,3,1,100002,"oracle_lambda_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower","interior",1868.16034180171,0,1,1,0.5,FALSE,0.283257977937779,0,TRUE,171,0.710999999999999,"222, 230",0,0,0,FALSE,0.0472466901595558,0.024606967451149,TRUE,2,0.0189999999999992
0.001,20,3,1,100002,"oracle_lambda_profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower","interior",1868.76447494845,0,1,1,0.5,FALSE,0.283257977937779,0,TRUE,126,0.510999999999999,"222, 230",0,0,0,FALSE,0.0208401697191358,0.0191008101608966,TRUE,2,0.0189999999999992
0.001,20,3,2,100003,"joint_lambda_2x_eta0",0.004,8.88173875165216,17.7634775033043,2,-0.811734930351046,-0.118587749791101,1.38629436111989,"interior","interior",1835.33041991815,30.7666872804518,1,1,0.5,FALSE,0.163831864235593,5.78775571913326e-09,TRUE,98,0.815000000000001,"262, 268",0,0,0,FALSE,0.186701334561983,0.0679161777653899,TRUE,2,0.00399999999999956
0.001,20,3,2,100003,"joint_lambda_profiled_eta0",0.004,8.88173875165216,8.88173875165216,1,-0.811734930351046,-0.811734930351046,1.38629436111989,"interior","interior",1836.49197805571,31.7430381365209,1,1,0.5,FALSE,0.163831864235593,5.78775571913326e-09,TRUE,170,0.701,"262, 268",0,0,0,FALSE,0.144027502993711,0.0930778935720799,TRUE,2,0.00399999999999956
0.001,20,3,2,100003,"oracle_lambda_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower","interior",1804.5637326377,0,1,1,0.5,FALSE,0.163831864235593,5.78775571913326e-09,TRUE,275,0.803000000000001,"262, 268",0,0,0,FALSE,0.0805671115725749,0.0712970925101005,TRUE,2,0.00399999999999956
0.001,20,3,2,100003,"oracle_lambda_profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower","interior",1804.74893991919,0,1,1,0.5,FALSE,0.163831864235593,5.78775571913326e-09,TRUE,121,0.482000000000001,"262, 268",0,0,0,FALSE,0.0266278523829948,0.0264666591660772,TRUE,2,0.00399999999999956
0.001,20,3,3,100004,"joint_lambda_2x_eta0",0.008,3.94005284447122,7.88010568894245,2,-1.62453813803175,-0.931390957471806,2.07944154167984,"interior","interior",1867.91349507931,44.1379695765247,1,1,0.5,FALSE,0.499979791642706,1.62416858587866e-05,TRUE,115,0.549000000000003,"231, 273",0,0,0,FALSE,0.117650888427424,0.0880387490307307,TRUE,1,0.00300000000000011
0.001,20,3,3,100004,"joint_lambda_profiled_eta0",0.008,3.94005284447122,3.94005284447122,1,-1.62453813803175,-1.62453813803175,2.07944154167984,"interior","interior",1868.09847850095,43.5485165746293,1,1,0.5,FALSE,0.499979791642706,1.62416858587866e-05,TRUE,109,0.422000000000001,"231, 273",0,0,0,FALSE,0.0388362753313611,0.036138376540129,TRUE,1,0.00300000000000011
0.001,20,3,3,100004,"oracle_lambda_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower","interior",1823.77552550279,0,1,1,0.5,FALSE,0.499979791642706,1.62416858587866e-05,TRUE,123,0.596,"231, 273",0,0,0,FALSE,0.0375996056316314,0.0351167921394769,TRUE,1,0.00300000000000011
0.001,20,3,3,100004,"oracle_lambda_profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower","interior",1824.54996192632,0,1,1,0.5,FALSE,0.499979791642706,1.62416858587866e-05,TRUE,113,0.458000000000002,"231, 273",0,0,0,FALSE,0.0204323198356143,0.020182157646224,TRUE,1,0.00300000000000011
0.001,20,3,4,100005,"joint_lambda_2x_eta0",0.01,11.655842744437,23.311685488874,2,-0.539924696135333,0.153222484424612,2.30258509299405,"interior","upper",1825.66154480646,61.3787560290591,1,1,0.5,FALSE,0.48942326810228,0,TRUE,62,1.247,"238, 307",1,1,0.5,FALSE,0.274235535363622,0.00856810970820188,TRUE,1,0.00399999999999956
0.001,20,3,4,100005,"joint_lambda_profiled_eta0",0.01,11.655842744437,11.655842744437,1,-0.539924696135333,-0.539924696135333,2.30258509299405,"interior","upper",1827.26022292068,62.1415009154889,1,1,0.5,FALSE,0.48942326810228,0,TRUE,300,1.176,"238, 307",1,1,0.5,FALSE,0.222978640824237,0.00801893945630072,TRUE,1,0.00399999999999956
0.001,20,3,4,100005,"oracle_lambda_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower","interior",1764.2827887774,0,1,1,0.5,FALSE,0.48942326810228,0,TRUE,141,0.602999999999998,"238, 307",0,0,0,FALSE,0.0372995291996626,0.0180365915556316,TRUE,1,0.00399999999999956
0.001,20,3,4,100005,"oracle_lambda_profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower","interior",1765.11872200519,0,1,1,0.5,FALSE,0.48942326810228,0,TRUE,112,0.447999999999997,"238, 307",0,0,0,FALSE,0.0217131111859392,0.0179970626658642,TRUE,1,0.00399999999999956
0.001,20,3,5,100006,"joint_lambda_2x_eta0",0.01,19.2937780860799,38.5875561721597,2,-0.0359496085780107,0.657197571981935,2.30258509299405,"interior","upper",1869.06873904316,64.7074219799597,1,1,0.5,FALSE,0.476351546663582,0,TRUE,104,0.497,"189, 233",1,1,0.5,FALSE,0.205128527743564,0.00770209621203566,TRUE,1,0.00300000000000011
0.001,20,3,5,100006,"joint_lambda_profiled_eta0",0.01,19.2937780860799,19.2937780860799,1,-0.0359496085780107,-0.0359496085780107,2.30258509299405,"interior","upper",1871.57750675562,66.6523361897905,1,1,0.5,FALSE,0.476351546663582,0,TRUE,90,0.372,"189, 233",1,1,0.5,FALSE,0.158862325491274,0.00793704994476241,TRUE,1,0.00300000000000011
0.001,20,3,5,100006,"oracle_lambda_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower","interior",1804.3613170632,0,1,1,0.5,FALSE,0.476351546663582,0,TRUE,228,0.785,"189, 233",0,0,0,FALSE,0.0478290619010663,0.0131112959163197,TRUE,1,0.00300000000000011
0.001,20,3,5,100006,"oracle_lambda_profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower","interior",1804.92517056583,0,1,1,0.5,FALSE,0.476351546663582,0,TRUE,112,0.455000000000002,"189, 233",0,0,0,FALSE,0.0198400169379985,0.0161720138915854,TRUE,1,0.00300000000000011
0.001,43,3,1,100007,"joint_lambda_2x_eta0",0.002,11.9444901358438,23.8889802716876,2,-1.28093002014292,-0.587782839582979,0.693147180559945,"interior","interior",2054.83575950683,9.06021774378701,1,1,0.5,FALSE,0.499999999997525,1.95581680073609e-07,TRUE,52,0.460999999999999,"97, 283",1,1,0.5,FALSE,0.50316426982093,0.052269377240926,TRUE,1,0.00400000000000045
0.001,43,3,1,100007,"joint_lambda_profiled_eta0",0.004,17.1663213464378,17.1663213464378,1,-0.91825071263579,-0.91825071263579,1.38629436111989,"interior","interior",2056.51788108504,10.5962447130391,1,1,0.5,FALSE,0.499999999997525,1.95581680073609e-07,TRUE,75,0.277999999999999,"97, 283",0,0,0,FALSE,0.498312199178694,0.0942624029715263,TRUE,1,0.00400000000000045
0.001,43,3,1,100007,"oracle_lambda_2x_eta0",0.001,2,4,2,-3.06805293513362,-2.37490575457367,0,"lower","interior",2045.77554176304,0,1,1,0.5,FALSE,0.499999999997525,1.95581680073609e-07,TRUE,149,0.740000000000002,"97, 283",0,0,0,FALSE,0.0887380039760552,0.0809244301335643,TRUE,1,0.00400000000000045
0.001,43,3,1,100007,"oracle_lambda_profiled_eta0",0.001,2,2,1,-3.06805293513362,-3.06805293513362,0,"lower","interior",2045.921636372,0,1,1,0.5,FALSE,0.499999999997525,1.95581680073609e-07,TRUE,141,0.567999999999998,"97, 283",0,0,0,FALSE,0.0283603209786523,0.0283282918624034,TRUE,1,0.00400000000000045
0.001,43,3,2,100008,"joint_lambda_2x_eta0",0.004,32.8102173717689,65.6204347435378,2,-0.27046014357429,0.422687036985655,1.38629436111989,"interior","interior",2117.53861540005,25.0077874025824,1,1,0.5,FALSE,0.239588075475436,0,TRUE,82,0.283999999999999,"53, 496",1,1,0.5,FALSE,0.250155963676681,0.00793069460386153,TRUE,2,0.00300000000000011
0.001,43,3,2,100008,"joint_lambda_profiled_eta0",0.004,32.8102173717689,32.8102173717689,1,-0.27046014357429,-0.27046014357429,1.38629436111989,"interior","interior",2119.58642043546,24.8725581847061,1,1,0.5,FALSE,0.239588075475436,0,TRUE,52,0.194000000000003,"53, 496",1,1,0.5,FALSE,0.252681389241415,0.0084046344050478,TRUE,2,0.00300000000000011
0.001,43,3,2,100008,"oracle_lambda_2x_eta0",0.001,16.2053786576542,32.4107573153084,2,-0.975856912655726,-0.282709732095781,0,"interior","interior",2092.53082799747,0,1,1,0.5,FALSE,0.239588075475436,0,TRUE,52,0.401999999999994,"53, 496",1,1,0.5,FALSE,0.252600339467522,0.00829935750224375,TRUE,2,0.00300000000000011
0.001,43,3,2,100008,"oracle_lambda_profiled_eta0",0.001,16.2053786576542,16.2053786576542,1,-0.975856912655726,-0.975856912655726,0,"interior","interior",2094.71386225075,0,1,1,0.5,FALSE,0.239588075475436,0,TRUE,94,0.343999999999994,"53, 496",1,1,0.5,FALSE,0.240363576600386,0.00802839856949011,TRUE,2,0.00300000000000011
0.001,43,3,3,100009,"joint_lambda_2x_eta0",0.004,33.8150999127679,67.6301998255358,2,-0.240292669983226,0.452854510576719,1.38629436111989,"interior","interior",2128.87545427474,14.9121510750178,1,1,0.5,FALSE,0.5,0,TRUE,49,0.252000000000002,"472, 498",1,1,0.5,FALSE,0.510213333142466,0.020426666285779,TRUE,1,0.00399999999999956
0.001,43,3,3,100009,"joint_lambda_profiled_eta0",0.004,33.8150999127679,33.8150999127679,1,-0.240292669983226,-0.240292669983226,1.38629436111989,"interior","interior",2132.2901635726,15.9111578382299,1,1,0.5,FALSE,0.5,0,TRUE,54,0.197000000000003,"472, 498",1,1,0.5,FALSE,0.504204962002297,0.0084099263320575,TRUE,1,0.00399999999999956
0.001,43,3,3,100009,"oracle_lambda_2x_eta0",0.001,17.7374465324588,35.4748930649175,2,-0.88552208759059,-0.192374907030645,0,"interior","interior",2113.96330319972,0,1,1,0.5,FALSE,0.5,0,TRUE,48,0.351999999999997,"472, 498",1,1,0.5,FALSE,0.504199860015715,0.00839972141365664,TRUE,1,0.00399999999999956
0.001,43,3,3,100009,"oracle_lambda_profiled_eta0",0.001,17.7374465324588,17.7374465324588,1,-0.88552208759059,-0.88552208759059,0,"interior","interior",2116.37900573437,0,1,1,0.5,FALSE,0.5,0,TRUE,82,0.298000000000002,"472, 498",1,1,0.5,FALSE,0.504028019959128,0.00805849116019652,TRUE,1,0.00399999999999956
