"true_lambda","true_eta0","r0_seed","replicate","seed","profile_type","candidate_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,1,100002,"corrected_2x_eta0",1e-05,2,4,2,-2.30258509299405,-1.6094379124341,-4.60517018598809,"lower",1254.51939077257,-691.395404841895,0,0,0,FALSE,0.0489298622549279,0.0245910865047092,TRUE,196,0.934,"222, 230"
0.001,20,3,1,100002,"corrected_2x_eta0",1e-04,2,4,2,-2.30258509299405,-1.6094379124341,-2.30258509299405,"lower",1650.03345524215,-295.881340372323,0,0,0,FALSE,0.0478223395374514,0.0246052736875411,TRUE,179,0.737,"222, 230"
0.001,20,3,1,100002,"corrected_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower",1868.16034180171,-77.754453812762,0,0,0,FALSE,0.0472466901595558,0.024606967451149,TRUE,171,0.710999999999999,"222, 230"
0.001,20,3,1,100002,"corrected_2x_eta0",0.002,2,4,2,-2.30258509299405,-1.6094379124341,0.693147180559945,"lower",1905.498487612,-40.4163080024689,0,0,0,FALSE,0.0471719646716443,0.0246068962445383,TRUE,170,0.704000000000001,"222, 230"
0.001,20,3,1,100002,"corrected_2x_eta0",0.004,12.0892834185228,24.1785668370457,2,-0.503412881277504,0.189734299282441,1.38629436111989,"interior",1930.17712026645,-15.7376753480185,1,1,0.5,FALSE,0.174372280413647,0.00803907890232181,TRUE,60,0.478000000000001,"222, 230"
0.001,20,3,1,100002,"corrected_2x_eta0",0.006,15.5037686034755,31.0075372069509,2,-0.254649143473391,0.438498037086554,1.79175946922805,"interior",1939.60805868199,-6.30673693247536,1,1,0.5,FALSE,0.185756955419981,0.0082916567273249,TRUE,52,0.386,"222, 230"
0.001,20,3,1,100002,"corrected_2x_eta0",0.008,18.5102124777273,37.0204249554546,2,-0.0774096679568199,0.615737512603125,2.07944154167984,"interior",1943.92946721791,-1.98532839655354,1,1,0.5,FALSE,0.190702369717906,0.00993752376316259,TRUE,80,0.385999999999999,"222, 230"
0.001,20,3,1,100002,"corrected_2x_eta0",0.01,21.2723899320671,42.5447798641343,2,0.0616777109853222,0.754824891545268,2.30258509299405,"interior",1945.91479561447,0,1,1,0.5,FALSE,0.195302514056803,0.0113389085523127,TRUE,58,0.330000000000001,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",1e-05,2,2,1,-2.30258509299405,-2.30258509299405,-4.60517018598809,"lower",1258.38387238251,-689.783384814893,0,0,0,FALSE,0.020664776345493,0.0190008284035104,TRUE,150,0.685,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",1e-04,2,2,1,-2.30258509299405,-2.30258509299405,-2.30258509299405,"lower",1651.98226205434,-296.184995143055,0,0,0,FALSE,0.0207740678687657,0.0190634165640762,TRUE,133,0.528,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.001,2,2,1,-2.30258509299405,-2.30258509299405,0,"lower",1868.76447494845,-79.40278224895,0,0,0,FALSE,0.0208401697191358,0.0191008101608966,TRUE,126,0.510999999999999,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.002,2,2,1,-2.30258509299405,-2.30258509299405,0.693147180559945,"lower",1905.75541014966,-42.411847047742,0,0,0,FALSE,0.0208929212248622,0.0191300378791047,TRUE,126,0.504,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.004,12.0892834185228,12.0892834185228,1,-0.503412881277504,-0.503412881277504,1.38629436111989,"interior",1931.89208168598,-16.2751755114152,1,1,0.5,FALSE,0.146771836517194,0.00796644758247567,TRUE,107,0.409000000000001,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.006,15.5037686034755,15.5037686034755,1,-0.254649143473391,-0.254649143473391,1.79175946922805,"interior",1941.68521263303,-6.48204456437065,1,1,0.5,FALSE,0.155870274904535,0.00795256634049801,TRUE,87,0.327,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.008,18.5102124777273,18.5102124777273,1,-0.0774096679568199,-0.0774096679568199,2.07944154167984,"interior",1946.14728623051,-2.01997096688865,1,1,0.5,FALSE,0.162966112496464,0.00797057500272802,TRUE,77,0.295999999999999,"222, 230"
0.001,20,3,1,100002,"profiled_eta0",0.01,21.2723899320671,21.2723899320671,1,0.0616777109853222,0.0616777109853222,2.30258509299405,"interior",1948.1672571974,0,1,1,0.5,FALSE,0.16880937793881,0.00800410564380116,TRUE,68,0.265,"222, 230"
0.001,20,3,2,100003,"corrected_2x_eta0",1e-05,2,4,2,-2.30258509299405,-1.6094379124341,-4.60517018598809,"lower",1242.71993158228,-592.610488335875,0,0,0,FALSE,0.0820758226198174,0.0723338169558743,TRUE,300,0.933999999999999,"262, 268"
0.001,20,3,2,100003,"corrected_2x_eta0",1e-04,2,4,2,-2.30258509299405,-1.6094379124341,-2.30258509299405,"lower",1623.55898953418,-211.77143038397,0,0,0,FALSE,0.0810207987063498,0.071610490438608,TRUE,282,0.868,"262, 268"
0.001,20,3,2,100003,"corrected_2x_eta0",0.001,2,4,2,-2.30258509299405,-1.6094379124341,0,"lower",1804.5637326377,-30.7666872804518,0,0,0,FALSE,0.0805671115725749,0.0712970925101005,TRUE,275,0.803000000000001,"262, 268"
0.001,20,3,2,100003,"corrected_2x_eta0",0.002,2,4,2,-2.30258509299405,-1.6094379124341,0.693147180559945,"lower",1827.02375395194,-8.30666596621813,0,0,0,FALSE,0.0805001521450529,0.0712507194704443,TRUE,274,0.786000000000001,"262, 268"
0.001,20,3,2,100003,"corrected_2x_eta0",0.004,8.88173875165216,17.7634775033043,2,-0.811734930351046,-0.118587749791101,1.38629436111989,"interior",1835.33041991815,0,0,0,0,FALSE,0.186701334561983,0.0679161777653899,TRUE,98,0.815000000000001,"262, 268"
0.001,20,3,2,100003,"corrected_2x_eta0",0.006,11.1607904747403,22.3215809494807,2,-0.583325488039305,0.10982169252064,1.79175946922805,"interior",1834.30557626589,-1.02484365226815,0,0,0,FALSE,0.198846780430074,0.0537732346799579,TRUE,83,0.613,"262, 268"
0.001,20,3,2,100003,"corrected_2x_eta0",0.008,13.0199367756316,26.0398735512632,2,-0.429250492727632,0.263896687832313,2.07944154167984,"interior",1830.76213012195,-4.56828979620877,0,0,0,FALSE,0.205958054156477,0.0442608688716571,TRUE,72,0.539000000000001,"262, 268"
0.001,20,3,2,100003,"corrected_2x_eta0",0.01,14.6268086290804,29.2536172581607,2,-0.312876221136531,0.380270959423414,2.30258509299405,"interior",1826.40970907892,-8.92071083923565,0,0,0,FALSE,0.210726437283603,0.0375066213372595,TRUE,65,0.502000000000001,"262, 268"
0.001,20,3,2,100003,"profiled_eta0",1e-05,2,2,1,-2.30258509299405,-2.30258509299405,-4.60517018598809,"lower",1245.96859383,-590.523384225715,0,0,0,FALSE,0.0269602947286049,0.0267799133462654,TRUE,144,0.577999999999999,"262, 268"
