"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_raw_eta0_hat","raw_eta0_q10","raw_eta0_q90","median_eta0_used","eta0_used_q10","eta0_used_q90","median_raw_log_eta0_error","median_used_log_eta0_error","median_log_lambda_error","raw_eta0_underestimate_frequency","used_eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_matching_oracle","median_elbo_gain_over_matching_oracle","mean_selected_L","mean_raw_selected_L","fallback_frequency","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.001,20,"joint_lambda_2x_eta0",15,0.006,0,3.94005284447122,2,20.4809451936722,7.88010568894245,4,40.9618903873445,-1.62453813803175,-0.931390957471806,1.79175946922805,0.866666666666667,0.6,0.266666666666667,0.2,40.2141710358052,43.4418324517278,1,0.4,1,0.933333333333333,0.466666666666667,0,0.344983307272522,1,104,0.782000000000153
0.001,20,"joint_lambda_profiled_eta0",15,0.006,0,3.94005284447122,2,20.4809451936722,3.94005284447122,2,20.4809451936722,-1.62453813803175,-1.62453813803175,1.79175946922805,0.866666666666667,0.866666666666667,0.266666666666667,0.2,40.494195895475,43.5485165746293,1,0.4,1,0.933333333333333,0.466666666666667,0,0.344983307272522,1,116,0.576999999999998
0.001,20,"oracle_lambda_2x_eta0",15,0.001,1,2,2,2,4,4,4,-2.30258509299405,-1.6094379124341,0,1,1,0.933333333333333,0,0,0,1,0.0666666666666667,1,0.933333333333333,0.466666666666667,0,0.344983307272522,1,145,0.786000000000058
0.001,20,"oracle_lambda_profiled_eta0",15,0.001,1,2,2,2,2,2,2,-2.30258509299405,-2.30258509299405,0,1,1,0.933333333333333,0,0,0,1,0.0666666666666667,1,0.933333333333333,0.466666666666667,0,0.344983307272522,1,120,0.573999999999955
0.001,43,"joint_lambda_2x_eta0",15,0.004,0,29.184752620946,14.5774850322033,38.9366552986921,58.3695052418921,29.1549700644066,77.8733105973842,-0.387553713313374,0.305593467246571,1.38629436111989,1,0.266666666666667,0,0,20.001780859488,19.6603487311784,1.06666666666667,1.06666666666667,0.933333333333333,1,0.533333333333333,0.0666666666666667,0.332010139290269,1,82,0.353999999999999
0.001,43,"joint_lambda_profiled_eta0",15,0.004,0,25.4276233519998,16.4949514655865,36.7300650937742,25.4276233519998,16.4949514655865,36.7300650937742,-0.525363999061972,-0.525363999061972,1.38629436111989,1,1,0,0,20.9936081570547,21.3793156736572,1,0.8,1,1,0.5,0,0.326204016573808,1,71,0.277999999999999
0.001,43,"oracle_lambda_2x_eta0",15,0.001,1,10.9660099525963,2.44477797013548,17.124619382537,21.9320199051927,4.88955594027097,34.2492387650739,-1.36639963112536,-0.673252450565419,0,1,0.933333333333333,0.133333333333333,0,0,0,1,0.6,1,1,0.5,0,0.326204016573808,1,66,0.561
0.001,43,"oracle_lambda_profiled_eta0",15,0.001,1,10.9660099525963,2.44477797013548,17.124619382537,10.9660099525963,2.44477797013548,17.124619382537,-1.36639963112536,-1.36639963112536,0,1,1,0.133333333333333,0,0,0,1,0.466666666666667,1,1,0.5,0,0.326204016573808,1,107,0.482999999999997
0.001,95,"joint_lambda_2x_eta0",15,0.002,0.0666666666666667,59.9712412802065,32.6070053832948,95.2732073569273,119.942482560413,65.2140107665895,190.546414713855,-0.460011756281713,0.233135424278233,0.693147180559945,0.866666666666667,0.4,0,0,13.194957643305,12.5389013467247,1.4,1.4,0.6,1,0.7,0.4,0.493917357771107,1,34,0.230000000000246
0.001,95,"joint_lambda_profiled_eta0",15,0.004,0.0666666666666667,61.1872043085283,32.6070053832948,97.3649799849746,61.1872043085283,32.6070053832948,97.3649799849746,-0.439938803868523,-0.439938803868523,1.38629436111989,0.8,0.8,0,0,13.5925153610373,12.7985811371514,1.13333333333333,1.13333333333333,0.866666666666667,0.933333333333333,0.533333333333333,0.133333333333333,0.419510082789583,1,40,0.176000000000002
0.001,95,"oracle_lambda_2x_eta0",15,0.001,1,29.9858977055474,21.4709566772789,41.3222438591251,59.9717954110948,42.9419133545579,82.6444877182503,-1.15314969694072,-0.460002516380779,0,1,0.933333333333333,0,0,0,0,1.13333333333333,1.13333333333333,0.866666666666667,0.933333333333333,0.533333333333333,0.133333333333333,0.416515139551255,1,48,0.356999999999971
0.001,95,"oracle_lambda_profiled_eta0",15,0.001,1,29.9858977055474,21.4709566772789,41.3222438591251,29.9858977055474,21.4709566772789,41.3222438591251,-1.15314969694072,-1.15314969694072,0,1,1,0,0,0,0,1,0.933333333333333,1,0.933333333333333,0.466666666666667,0,0.398103899412148,1,70,0.302999999999997
0.001,206,"joint_lambda_2x_eta0",15,0.002,0.4,120.934337899881,87.7033852137552,292.440771682925,241.868675799762,175.40677042751,584.88154336585,-0.532628432471601,0.160518748088345,0.693147180559945,0.733333333333333,0.466666666666667,0,0,12.1861458557299,2.51784976039835,1.66666666666667,1.66666666666667,0.333333333333333,0.933333333333333,0.766666666666667,0.533333333333333,0.515212086503402,1,24,0.338000000000008
0.001,206,"joint_lambda_profiled_eta0",15,0.002,0.4,138.797957843848,87.7033852137552,292.440771682925,138.797957843848,87.7033852137552,292.440771682925,-0.394856833765692,-0.394856833765692,0.693147180559945,0.733333333333333,0.733333333333333,0,0,12.9263573121532,2.02640778487148,1.53333333333333,1.53333333333333,0.466666666666667,0.966666666666667,0.733333333333333,0.466666666666667,0.482117301205961,1,62,0.253
0.001,206,"oracle_lambda_2x_eta0",15,0.001,1,86.1218653498911,45.7782480180564,116.067749973808,172.243730699782,91.5564960361129,232.135499947616,-0.872112836636084,-0.178965656076138,0,1,0.8,0,0,0,0,1.4,1.4,0.6,1,0.7,0.4,0.440743921003205,1,39,0.350999999999985
0.001,206,"oracle_lambda_profiled_eta0",15,0.001,1,86.1218653498911,45.7782480180564,116.067749973808,86.1218653498911,45.7782480180564,116.067749973808,-0.872112836636084,-0.872112836636084,0,1,1,0,0,0,0,1.13333333333333,1.13333333333333,0.866666666666667,1,0.566666666666667,0.133333333333333,0.390336988669684,1,62,0.249000000000024
0.001,447,"joint_lambda_2x_eta0",15,0.002,0.266666666666667,374.749867304413,224.782326140556,613.844230068513,749.499734608826,449.564652281113,1227.68846013702,-0.176299811721884,0.516847368838062,0.693147180559945,0.733333333333333,0.133333333333333,0,0,6.91431273685366,6.66328573994724,1.93333333333333,1.93333333333333,0.0666666666666667,1,0.966666666666667,0.933333333333333,0.765693195048848,1,33,0.355000000000004
0.001,447,"joint_lambda_profiled_eta0",15,0.002,0.266666666666667,352.305849519864,220.282577721922,613.844230068513,352.305849519864,220.282577721922,613.844230068513,-0.238058905601028,-0.238058905601028,0.693147180559945,0.733333333333333,0.733333333333333,0,0,6.1920102543173,5.38339233008492,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.720119118975223,1,72,0.280999999999949
0.001,447,"oracle_lambda_2x_eta0",15,0.001,1,198.181403964469,117.364653469776,267.177779247933,396.362807928938,234.729306939551,534.355558495866,-0.813375801718532,-0.120228621158587,0,1,0.666666666666667,0,0,0,0,1.8,1.8,0.2,1,0.9,0.8,0.689144762902581,1,71,0.394999999999996
0.001,447,"oracle_lambda_profiled_eta0",15,0.001,1,198.181403964469,117.364653469776,267.177779247933,198.181403964469,117.364653469776,267.177779247933,-0.813375801718532,-0.813375801718532,0,1,1,0,0,0,0,1.66666666666667,1.66666666666667,0.333333333333333,1,0.833333333333333,0.666666666666667,0.632021887632442,1,74,0.319000000000003
0.001,972,"joint_lambda_2x_eta0",15,0.002,0.466666666666667,878.558256612522,516.941604187343,1795.7462445888,1757.11651322504,1033.88320837468,3591.49248917761,-0.101073585301129,0.592073595258817,0.693147180559945,0.533333333333333,0.0666666666666667,0.0666666666666667,0,2.38083435363718,0.0987808426484662,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.698336870580007,1,50,0.350000000000136
0.001,972,"joint_lambda_profiled_eta0",15,0.001,0.6,761.246747592888,444.22028995723,1795.7462445888,761.246747592888,444.22028995723,1795.7462445888,-0.244398257901436,-0.244398257901436,0,0.6,0.6,0.0666666666666667,0,1.5440579512125,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.687881253436011,1,66,0.268000000000001
0.001,972,"oracle_lambda_2x_eta0",15,0.001,1,495.379831823086,405.438209283291,730.405822816614,990.759663646172,810.876418566581,1460.81164563323,-0.674030999127944,0.0191161814320013,0,1,0.4,0,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.698712355029761,1,64,0.352000000000089
0.001,972,"oracle_lambda_profiled_eta0",15,0.001,1,495.379831823086,405.438209283291,730.405822816614,495.379831823086,405.438209283291,730.405822816614,-0.674030999127944,-0.674030999127944,0,1,1,0,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.689622400255342,1,71,0.271999999999991
0.001,2115,"joint_lambda_2x_eta0",15,0.001,0.866666666666667,1963.14531256958,737.709496971036,13517.1392038106,3926.29062513917,1475.41899394207,15034.2784076211,-0.074506874182311,0.618640306377634,0,0.533333333333333,0.2,0.133333333333333,0,0.244322384317759,0,1.8,1.8,0.2,0.966666666666667,0.866666666666667,0.733333333333333,0.707015555362978,1,70,0.516000000000076
0.001,2115,"joint_lambda_profiled_eta0",15,0.001,0.866666666666667,1963.14531256958,737.709496971036,13517.1392038106,1963.14531256958,737.709496971036,13517.1392038106,-0.074506874182311,-0.074506874182311,0,0.533333333333333,0.533333333333333,0.133333333333333,0,0.155827791588157,0,1.8,1.8,0.2,1,0.9,0.8,0.706172824411703,1,71,0.428000000000111
0.001,2115,"oracle_lambda_2x_eta0",15,0.001,1,1505.02160499031,737.709496971036,3146.4792623853,3010.04320998061,1475.41899394207,6292.95852477059,-0.340247558925154,0.352899621634791,0,0.666666666666667,0.266666666666667,0,0,0,0,1.8,1.8,0.2,0.966666666666667,0.866666666666667,0.733333333333333,0.705496095259621,1,71,0.494000000000142
0.001,2115,"oracle_lambda_profiled_eta0",15,0.001,1,1505.02160499031,737.709496971036,3146.4792623853,1505.02160499031,737.709496971036,3146.4792623853,-0.340247558925154,-0.340247558925154,0,0.666666666666667,0.666666666666667,0,0,0,0,1.8,1.8,0.2,1,0.9,0.8,0.702926392030256,1,72,0.400000000000091
