"true_lambda","true_eta0","r0_seed","replicate","seed","candidate_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,1,100002,1e-05,2,-2.30258509299405,-4.60517018598809,"lower",1258.38387238251,-690.150234344941,0,0,0,FALSE,0.020664776345493,0.0190008284035104,TRUE,150,0.645,"222, 230"
0.001,20,3,1,100002,1e-04,2,-2.30258509299405,-2.30258509299405,"lower",1651.98226205434,-296.551844673103,0,0,0,FALSE,0.0207740678687657,0.0190634165640762,TRUE,133,0.496,"222, 230"
0.001,20,3,1,100002,0.001,2,-2.30258509299405,0,"lower",1868.76447494845,-79.769631778998,0,0,0,FALSE,0.0208401697191358,0.0191008101608966,TRUE,126,0.48,"222, 230"
0.001,20,3,1,100002,0.003,2.14767438087276,-2.23134670017102,1.09861228866811,"interior",1921.78180955859,-26.7522971688531,0,0,0,FALSE,0.0221778230345789,0.0197845301752311,TRUE,130,0.473,"222, 230"
0.001,20,3,1,100002,0.005,13.8638811415851,-0.366445294346425,1.6094379124341,"interior",1937.78623178288,-10.7478749445627,1,1,0.5,FALSE,0.151656774356821,0.00795173377325109,TRUE,94,0.349,"222, 230"
0.001,20,3,1,100002,0.008,18.5102124777273,-0.0774096679568199,2.07944154167984,"interior",1946.14728623051,-2.38682049693671,1,1,0.5,FALSE,0.162966112496464,0.00797057500272802,TRUE,77,0.274,"222, 230"
0.001,20,3,1,100002,0.01,21.2723899320671,0.0616777109853222,2.30258509299405,"interior",1948.1672571974,-0.366849530048057,1,1,0.5,FALSE,0.16880937793881,0.00800410564380116,TRUE,68,0.248,"222, 230"
0.001,20,3,1,100002,0.015,27.6137915000637,0.32258306639592,2.70805020110221,"interior",1948.53410672745,0,1,1,0.5,FALSE,0.180086034293669,0.00819665964547722,TRUE,51,0.185,"222, 230"
0.001,20,3,1,100002,0.02,35.8768877892052,0.584361020443231,2.99573227355399,"interior",1946.17009390683,-2.36401282061979,1,1,0.5,FALSE,0.189695349885626,0.00972046408164928,TRUE,100,0.354,"222, 230"
0.001,20,3,1,100002,0.025,45.5661491928139,0.823432825031041,3.2188758248682,"interior",1942.84387197498,-5.69023475246377,1,1,0.5,FALSE,0.197757285046795,0.0122828537752651,TRUE,68,0.244,"222, 230"
0.001,20,3,1,100002,0.03,55.2268091556602,1.01571623493783,3.40119738166216,"interior",1939.11915046724,-9.4149562602031,1,1,0.5,FALSE,0.204800827210277,0.0150387766591479,TRUE,62,0.219,"222, 230"
0.001,20,3,2,100003,1e-05,2,-2.30258509299405,-4.60517018598809,"lower",1245.96859383,-590.702746005772,0,0,0,FALSE,0.0269602947286049,0.0267799133462654,TRUE,144,0.542,"262, 268"
0.001,20,3,2,100003,1e-04,2,-2.30258509299405,-2.30258509299405,"lower",1624.94924272346,-211.722097112306,0,0,0,FALSE,0.026687657474922,0.0265228185038591,TRUE,127,0.472,"262, 268"
0.001,20,3,2,100003,0.001,2,-2.30258509299405,0,"lower",1804.74893991919,-31.9223999165781,0,0,0,FALSE,0.0266278523829948,0.0264666591660772,TRUE,121,0.454000000000001,"262, 268"
0.001,20,3,2,100003,0.003,7.44682196097931,-0.987944914593571,1.09861228866811,"interior",1834.20472315267,-2.46661668309639,0,0,0,FALSE,0.132136794569279,0.0934580926069442,TRUE,220,0.765000000000001,"262, 268"
0.001,20,3,2,100003,0.005,10.0917000779082,-0.684018962013048,1.6094379124341,"interior",1836.67133983577,0,0,0,0,FALSE,0.15229385817739,0.09119587743884,TRUE,149,0.521000000000001,"262, 268"
