"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,1,100002,"joint_lambda_eta0",0.015,27.6137915000637,0.32258306639592,2.70805020110221,"interior","interior",1948.53410672745,79.769631778998,1,1,0.5,FALSE,0.180086034293669,0.00819665964547722,TRUE,51,0.185,"222, 230"
0.001,20,3,1,100002,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1868.76447494845,0,0,0,0,FALSE,0.0208401697191358,0.0191008101608966,TRUE,126,0.48,"222, 230"
0.001,20,3,2,100003,"joint_lambda_eta0",0.005,10.0917000779082,-0.684018962013048,1.6094379124341,"interior","interior",1836.67133983577,31.9223999165781,0,0,0,FALSE,0.15229385817739,0.09119587743884,TRUE,149,0.521000000000001,"262, 268"
0.001,20,3,2,100003,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1804.74893991919,0,0,0,0,FALSE,0.0266278523829948,0.0264666591660772,TRUE,121,0.454000000000001,"262, 268"
0.001,20,3,3,100004,"joint_lambda_eta0",0.008,3.94005284447122,-1.62453813803175,2.07944154167984,"interior","interior",1868.09847850095,43.5485165746293,0,0,0,FALSE,0.0388362753313611,0.036138376540129,TRUE,109,0.375,"231, 273"
0.001,20,3,3,100004,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1824.54996192632,0,0,0,0,FALSE,0.0204323198356143,0.020182157646224,TRUE,113,0.405999999999999,"231, 273"
0.001,20,3,4,100005,"joint_lambda_eta0",0.015,15.0970699290478,-0.28123159299609,2.70805020110221,"interior","interior",1827.55699071589,62.4382687107043,1,1,0.5,FALSE,0.242416226118727,0.00808329508345673,TRUE,104,0.355,"238, 307"
0.001,20,3,4,100005,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1765.11872200519,0,0,0,0,FALSE,0.0217131111859392,0.0179970626658642,TRUE,112,0.394000000000002,"238, 307"
0.001,20,3,5,100006,"joint_lambda_eta0",0.01,19.2937780860799,-0.0359496085780107,2.30258509299405,"interior","interior",1871.57750675562,66.6523361897905,1,1,0.5,FALSE,0.158862325491274,0.00793704994476241,TRUE,90,0.300999999999998,"189, 233"
0.001,20,3,5,100006,"oracle_lambda",0.001,2,-2.30258509299405,0,"lower","interior",1804.92517056583,0,0,0,0,FALSE,0.0198400169379985,0.0161720138915854,TRUE,112,0.395,"189, 233"
0.001,43,3,1,100007,"joint_lambda_eta0",0.003,14.8644095189646,-1.06223038294101,1.09861228866811,"interior","interior",2057.75109643479,11.8294600627869,0,0,0,FALSE,0.493153610139998,0.118920351497014,TRUE,84,0.283000000000001,"97, 283"
