"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_eta0_hat","eta0_q10","eta0_q90","median_log_eta0_error","median_log_lambda_error","eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_oracle","median_elbo_gain_over_oracle","mean_selected_L","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.001,20,"joint_lambda_eta0",15,0.008,0,10.0917000779082,2.13579509677009,24.0313912365554,-0.684018962013048,2.07944154167984,0.866666666666667,0.133333333333333,0,40.5275494340948,43.5485165746293,0.466666666666667,0.466666666666667,0.233333333333333,0,0.129639081852135,1,109,0.377000000000066
0.001,20,"oracle_lambda",15,0.001,1,2,2,2,-2.30258509299405,0,1,0.933333333333333,0,0,0,0.0666666666666667,0.0666666666666667,0.0333333333333333,0,0.023993148254128,1,120,0.501000000000204
0.001,43,"joint_lambda_eta0",15,0.003,0.0666666666666667,25.7941358099642,15.5818969791904,37.6092399007697,-0.511052943788663,1.09861228866811,1,0,0,20.9693315768055,20.7763081754681,0.8,0.8,0.4,0,0.317344494401421,1,67,0.249000000000024
0.001,43,"oracle_lambda",15,0.001,1,10.9660099525963,2.44477797013548,17.124619382537,-1.36639963112536,0,1,0.133333333333333,0,0,0,0.466666666666667,0.466666666666667,0.233333333333333,0,0.21123974430985,1,107,0.442
0.001,95,"joint_lambda_eta0",15,0.003,0.2,53.4398913799277,35.6841580068758,104.626408784362,-0.575319394935449,1.09861228866811,0.8,0,0,13.0785176766461,13.4740349789658,1.13333333333333,1,0.566666666666667,0.133333333333333,0.410245562894021,1,63,0.243999999999915
0.001,95,"oracle_lambda",15,0.001,1,29.9858977055474,21.4709566772789,41.3222438591251,-1.15314969694072,0,1,0,0,0,0,0.933333333333333,0.933333333333333,0.466666666666667,0,0.307921091152393,1,70,0.286999999999807
0.001,206,"joint_lambda_eta0",15,0.001,0.533333333333333,120.934337899881,87.7033852137552,252.503586107076,-0.532628432471601,0,0.8,0,0,12.4822695920144,0,1.53333333333333,1,0.766666666666667,0.533333333333333,0.49850917404313,1,67,0.225999999999999
0.001,206,"oracle_lambda",15,0.001,1,86.1218653498911,45.7782480180564,116.067749973808,-0.872112836636084,0,1,0,0,0,0,1.13333333333333,1,0.566666666666667,0.133333333333333,0.362697192406057,1,62,0.234999999999999
0.001,447,"joint_lambda_eta0",15,0.003,0.4,381.567354457538,211.346708499653,817.283941589241,-0.158271207814438,1.09861228866811,0.6,0,0,5.16947947019144,2.48163077363597,1.86666666666667,1,0.933333333333333,0.866666666666667,0.775717705177074,1,69,0.236999999999995
0.001,447,"oracle_lambda",15,0.001,1,198.181403964469,117.364653469775,267.177779247933,-0.813375801718532,0,1,0,0,0,0,1.66666666666667,1,0.833333333333333,0.666666666666667,0.646731883539626,1,74,0.284000000000006
